"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.779500002E-3,-1.045124382E-1,-6.840907926E-2,-7.720020354E-2,1.468418309E-1
1.181650000E-2,-7.417022207E-2,-2.963690490E-2,-1.652563477E-1,1.835462569E-1
2.185450001E-2,-4.775017200E-2,-4.851319710E-2,-1.085892266E-1,1.281609510E-1
3.189250000E-2,-4.090698366E-4,-3.610542376E-2,-9.222286999E-2,9.903952096E-2
4.192950000E-2,-1.152028935E-2,-2.480189709E-2,-1.083658630E-1,1.117631935E-1
5.196750001E-2,-9.322396356E-3,-3.662597213E-2,2.859873176E-3,3.790181767E-2
6.200550000E-2,9.493614708E-3,-2.685629804E-2,-3.964529157E-2,4.881740067E-2
7.204350001E-2,-3.573955936E-2,-4.899860736E-2,-1.387719691E-2,6.221540180E-2
8.208050001E-2,-2.904805602E-2,-3.385415437E-2,3.316657662E-2,5.558700506E-2
9.211850000E-2,-1.095302149E-2,-6.610569656E-3,-2.933021843E-2,3.199890661E-2
1.021565000E-1,-9.984151562E-3,-2.307267442E-2,3.170067966E-2,4.045942014E-2
1.121935000E-1,-1.410600577E-2,-3.861647397E-3,-1.306209505E-2,1.960892772E-2
1.222315000E-1,-3.699730458E-2,-2.207446335E-2,-5.000480354E-2,6.600426392E-2
1.322695000E-1,-4.299096330E-2,-2.684754549E-2,-2.016529262E-2,5.454954308E-2
1.423075000E-1,-1.118519364E-2,-1.499682907E-3,-9.479681432E-2,9.546619093E-2
1.523445000E-1,-2.636495833E-2,-1.337837460E-2,-3.769933820E-2,4.790962362E-2
1.623825000E-1,-3.456387387E-2,2.013881570E-2,-1.652715504E-2,4.328256148E-2
1.724205000E-1,-5.527203022E-2,3.078966519E-2,-6.631327271E-2,9.165397397E-2
1.824575000E-1,-9.522824747E-2,1.124057774E-2,-1.887481213E-3,9.590793653E-2
1.924955000E-1,-6.296384141E-2,3.428874867E-2,-7.982443392E-2,1.072944727E-1
2.025335000E-1,-7.268893505E-2,1.211336603E-2,-8.007820308E-2,1.088252430E-1
2.125705000E-1,-5.742199203E-2,-4.449055027E-3,-8.796434283E-2,1.051418322E-1
2.226085000E-1,-2.014540752E-2,-3.646122683E-3,-1.600546646E-1,1.613586915E-1
2.326465000E-1,-3.408587770E-2,-1.701315003E-2,-1.162794846E-1,1.223609941E-1
2.426845000E-1,-2.241294861E-3,1.674072459E-2,-1.558709818E-1,1.567834119E-1
2.527215000E-1,-1.750578708E-2,1.698559502E-2,-1.322885764E-1,1.345185134E-1
2.627595000E-1,-2.859983953E-2,-2.856209530E-2,-7.517355859E-2,8.535108681E-2
2.727975000E-1,-6.103233249E-2,1.684882499E-2,-1.038354403E-1,1.216167224E-1
2.828345000E-1,-8.683388419E-2,2.896304984E-2,-3.086686671E-2,9.660095837E-2
2.928725000E-1,-6.589982889E-2,6.582159497E-2,-2.152593970E-2,9.559621275E-2
3.029105000E-1,-7.007303238E-2,1.044869115E-1,-2.956059873E-2,1.292345679E-1
3.129475000E-1,-4.337698460E-2,1.164639460E-1,1.837896824E-2,1.256312063E-1
3.229855000E-1,-8.021160183E-3,1.639078518E-1,-5.179989874E-2,1.720853056E-1
3.330235000E-1,-8.341231286E-3,1.518421223E-1,-3.233159423E-2,1.554700558E-1
3.430605000E-1,1.409353932E-2,1.331033493E-1,-3.743328989E-2,1.389833826E-1
3.530975000E-1,4.327790170E-2,1.149261648E-1,-1.391134465E-1,1.855627957E-1
3.631355000E-1,5.142889748E-2,8.104670299E-2,-1.260115904E-1,1.584058726E-1
3.731735000E-1,4.959513756E-2,8.899630331E-2,-1.777524322E-1,2.048803232E-1
3.832105000E-1,6.765697201E-2,5.774797887E-2,-1.897035563E-1,2.095226341E-1
3.932485000E-1,5.580078753E-2,3.654480547E-2,-1.623040885E-1,1.754761176E-1
4.032865000E-1,3.897892368E-2,3.944146128E-2,-2.151389444E-1,2.221705443E-1
4.133245000E-1,8.864694131E-3,-6.206070241E-3,-1.697633815E-1,1.701079181E-1
4.233615000E-1,1.142739628E-2,-1.422757303E-2,-1.644728208E-1,1.654820775E-1
4.333995000E-1,-2.537665783E-2,-6.120236769E-2,-1.434228444E-1,1.579867617E-1
