"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.912499809E-5,-8.245828480E-2,3.050854202E-2,1.291872132E-1,1.562673220E-1
9.938874995E-3,-7.127683704E-2,2.321426840E-2,1.280353117E-1,1.483655310E-1
1.997687499E-2,-7.313203066E-2,2.027922196E-2,1.161151779E-1,1.387165285E-1
3.001487500E-2,-8.167528781E-2,8.760481216E-3,9.641473889E-2,1.266625459E-1
4.005187500E-2,-5.112181359E-2,-2.296037134E-3,7.880994201E-2,9.396658220E-2
5.008987499E-2,-4.065290387E-2,-3.571314868E-3,4.982120097E-2,6.440159120E-2
6.012787500E-2,-2.600067680E-2,-5.834954772E-3,3.937573493E-2,4.754503541E-2
7.016587499E-2,-1.111691826E-2,-9.199808110E-3,2.651653826E-2,3.018855979E-2
8.020387500E-2,-5.003160937E-3,-2.716574365E-2,1.378714979E-2,3.087223262E-2
9.024187499E-2,-7.694570348E-4,-1.879739134E-2,4.475458860E-3,1.933814151E-2
1.002798750E-1,1.465759006E-2,-2.175769044E-2,-9.644982219E-3,2.795116673E-2
1.103178750E-1,1.359145992E-2,-2.872183392E-2,-3.440560162E-2,4.683392947E-2
1.203558750E-1,2.236693377E-2,-1.324650161E-2,-3.582121253E-2,4.425956166E-2
1.303938750E-1,1.710125112E-2,-1.508704064E-2,-3.349168181E-2,4.051869119E-2
1.404308750E-1,3.173367075E-2,-2.972243870E-2,-3.579782367E-2,5.631992010E-2
1.504688750E-1,5.346668411E-2,-4.584087336E-2,-3.361271918E-2,7.803772723E-2
1.605068750E-1,4.893603302E-2,-2.820853975E-2,-9.149723053E-3,5.722040260E-2
1.705448750E-1,6.546537163E-2,-3.163619583E-2,2.255621910E-2,7.612717510E-2
1.805828750E-1,5.930843627E-2,-2.199821200E-2,2.645280361E-3,6.331200086E-2
1.906208750E-1,5.394148716E-2,-1.038058022E-2,-1.438999772E-3,5.495007919E-2
2.006588750E-1,4.203937006E-2,-6.825491376E-3,-3.893017709E-2,5.770142681E-2
2.106968750E-1,2.787850097E-2,2.155345816E-2,-6.494853258E-2,7.389231529E-2
2.207348750E-1,1.352282823E-2,2.932537621E-2,-9.264094591E-2,9.810804978E-2
2.307729167E-1,5.394220892E-3,4.301597385E-2,-1.460611081E-1,1.523591774E-1
2.408099167E-1,-1.645016366E-2,4.237888316E-2,-1.523006719E-1,1.589404678E-1
2.508479167E-1,-2.059493506E-2,5.425667949E-2,-1.534490651E-1,1.640565579E-1
2.608859167E-1,-2.472297795E-2,5.388921853E-2,-1.439730674E-1,1.557033001E-1
2.709239167E-1,-4.899943876E-2,4.405319681E-2,-1.596541303E-1,1.727167348E-1
2.809619167E-1,-6.780481520E-2,5.048235660E-2,-1.352308953E-1,1.594783883E-1
2.909999167E-1,-8.453560866E-2,5.446907960E-2,-1.560189164E-1,1.856207209E-1
3.010379167E-1,-8.752187306E-2,2.016721124E-2,-1.408945084E-1,1.670869748E-1
3.110759167E-1,-8.349835829E-2,3.855252005E-3,-1.211391056E-1,1.471785368E-1
3.211139167E-1,-8.369402988E-2,-9.252871592E-3,-6.113848686E-2,1.040587375E-1
3.311509167E-1,-7.628240995E-2,-1.054307800E-2,-9.992891550E-4,7.701403210E-2
3.411889167E-1,-7.285043241E-2,-2.322758909E-2,4.086092770E-2,8.669672318E-2
