"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-7.362083416E-4,4.276961088E-2,3.892701119E-2,-3.968705889E-3,5.796811573E-2
9.300791658E-3,4.465576261E-2,4.173783585E-2,-1.452801982E-3,6.114159558E-2
1.933879167E-2,4.178886861E-2,4.499647766E-2,-3.606397659E-4,6.140946672E-2
2.937679166E-2,3.580544144E-2,4.280890524E-2,-1.152003882E-3,5.582077676E-2
3.941479167E-2,2.592458017E-2,3.931856528E-2,-1.346414560E-3,4.711524451E-2
4.945179167E-2,1.152260881E-2,3.043548390E-2,4.098592326E-4,3.254623141E-2
5.948979166E-2,-3.750354052E-3,2.100789361E-2,-1.069793128E-3,2.136682491E-2
6.952779167E-2,-1.727019809E-2,6.145096850E-3,-1.246921136E-3,1.837326236E-2
7.956579166E-2,-3.064006567E-2,-3.860931844E-3,3.927871585E-4,3.088486200E-2
8.960279166E-2,-4.258550704E-2,-1.871464215E-2,1.389184501E-3,4.653700757E-2
9.964079167E-2,-4.755762964E-2,-2.949139103E-2,4.586759023E-4,5.596142123E-2
1.096787917E-1,-5.003044754E-2,-3.901366517E-2,1.034767134E-3,6.345220638E-2
1.197167917E-1,-4.812015966E-2,-4.767985642E-2,1.388701145E-3,6.775578916E-2
1.297537917E-1,-4.082831368E-2,-5.079078674E-2,2.620001324E-3,6.521901274E-2
1.397917917E-1,-3.082388267E-2,-5.294208974E-2,1.398941735E-3,6.127751338E-2
1.498297917E-1,-1.655849442E-2,-5.098745227E-2,4.133726470E-3,5.376794324E-2
1.598677917E-1,-4.518876318E-3,-4.259370267E-2,4.637596197E-3,4.308307149E-2
1.699047917E-1,9.712123312E-3,-3.498421237E-2,5.039406009E-3,3.665536887E-2
1.799427917E-1,2.263351530E-2,-2.265111543E-2,6.661803462E-3,3.270670681E-2
1.899807917E-1,3.326282278E-2,-1.012188382E-2,4.020762630E-3,3.500049204E-2
2.000187917E-1,3.903549165E-2,5.338032730E-3,5.923057906E-3,3.984152126E-2
2.100567917E-1,4.161412269E-2,1.970767044E-2,4.672440700E-3,4.628130490E-2
2.200937917E-1,4.118774831E-2,3.404612839E-2,1.001006924E-3,5.344690341E-2
2.301317917E-1,3.565596789E-2,4.312001541E-2,-3.916164860E-5,5.595252728E-2
2.401697917E-1,2.766808122E-2,5.127381533E-2,-2.356910845E-3,5.831022111E-2
2.502077917E-1,1.481983252E-2,5.532428622E-2,-3.543773200E-3,5.738433942E-2
2.602447917E-1,2.591128461E-3,5.588195473E-2,-4.794926383E-3,5.614711150E-2
2.702827917E-1,-1.036621537E-2,4.995322227E-2,-7.047960535E-3,5.150200564E-2
2.803207917E-1,-2.159143984E-2,4.268945381E-2,-8.233600296E-3,4.854247537E-2
2.903587917E-1,-2.921537496E-2,3.368045762E-2,-9.727773257E-3,4.563486531E-2
3.003957917E-1,-3.522346541E-2,2.180782147E-2,-9.904340841E-3,4.259541713E-2
3.104337917E-1,-3.706103936E-2,7.861767896E-3,-7.816174999E-3,3.868359632E-2
3.204717917E-1,-3.356644139E-2,-6.650862284E-3,-6.463821512E-3,3.482414313E-2
3.305097917E-1,-2.503307350E-2,-2.136827074E-2,-4.649440292E-3,3.323966092E-2
3.405467917E-1,-1.685903221E-2,-3.150958940E-2,-3.219056642E-3,3.588096316E-2
3.505847917E-1,-5.044002086E-3,-4.268394411E-2,1.357919304E-3,4.300238350E-2
3.606227917E-1,5.043519195E-3,-4.740386084E-2,2.764334437E-3,4.775148849E-2
3.706607917E-1,1.755406335E-2,-5.059346184E-2,6.406015716E-3,5.393403896E-2
3.806977917E-1,3.006958961E-2,-4.729007930E-2,7.610031404E-3,5.655479111E-2
3.907357917E-1,3.754565492E-2,-4.382979870E-2,8.771605790E-3,5.837523898E-2
4.007737917E-1,4.140084609E-2,-3.389966860E-2,1.047523040E-2,5.452474705E-2
4.108117917E-1,3.979638964E-2,-2.295555174E-2,1.000120211E-2,4.701844349E-2
4.208487917E-1,3.605464846E-2,-1.031938475E-2,1.011012588E-2,3.884124126E-2
4.308867917E-1,2.822900936E-2,1.644496573E-3,6.872242317E-3,2.909998373E-2
4.409247917E-1,1.806319132E-2,1.547109522E-2,6.392873824E-3,2.462727155E-2
4.509627917E-1,5.016368814E-3,2.785099484E-2,4.282975104E-3,2.862142109E-2
4.609997917E-1,-7.416864857E-3,3.705860674E-2,1.339915907E-3,3.781726580E-2
4.710377917E-1,-1.917328686E-2,4.467796534E-2,-6.237600464E-4,4.862226437E-2
4.810757917E-1,-3.113034740E-2,4.709904268E-2,-5.409194157E-3,5.671576265E-2
4.911137917E-1,-3.910138831E-2,4.564478248E-2,-6.301773712E-3,6.043241752E-2
5.011507917E-1,-4.297282547E-2,4.139331356E-2,-9.333782829E-3,6.039196667E-2
5.111887917E-1,-4.186368361E-2,3.272436559E-2,-1.005960628E-2,5.408001283E-2
5.212267917E-1,-3.931264207E-2,2.238091454E-2,-1.356192864E-2,4.722621169E-2
5.312647917E-1,-3.201072291E-2,9.906684980E-3,-1.119973604E-2,3.533076387E-2
5.413017917E-1,-2.037377283E-2,-5.573204719E-3,-1.000211202E-2,2.337078251E-2
5.513397917E-1,-1.013785042E-2,-1.811766811E-2,-8.548713289E-3,2.245231408E-2
5.613777917E-1,1.463677734E-3,-2.821584418E-2,-7.740977220E-3,2.929503275E-2
5.714157917E-1,1.352247410E-2,-4.050080851E-2,-3.179657739E-3,4.281685438E-2
5.814537917E-1,2.479936369E-2,-4.865700752E-2,2.217316069E-4,5.461283718E-2
5.914907917E-1,3.080575541E-2,-5.072580278E-2,3.215518314E-3,5.943434354E-2
6.015287917E-1,3.434029967E-2,-5.092607066E-2,6.904263049E-3,6.180930110E-2
6.115667917E-1,3.378006816E-2,-4.742781445E-2,8.925493807E-3,5.890802177E-2
6.216047917E-1,2.809315175E-2,-3.914644942E-2,1.158093102E-2,4.955590419E-2
6.316417917E-1,2.012201585E-2,-2.850223705E-2,9.919729084E-3,3.627222166E-2
6.416797917E-1,1.183905266E-2,-1.708553359E-2,1.184386294E-2,2.392395693E-2
6.517177917E-1,-9.380467236E-5,-2.476142254E-3,1.128387731E-2,1.155274715E-2
6.617557917E-1,-1.283543184E-2,1.219893992E-2,1.069744956E-2,2.068810945E-2
6.717927917E-1,-2.088839933E-2,2.444456331E-2,7.775946520E-3,3.308061739E-2
6.818307917E-1,-2.746667340E-2,3.603836894E-2,7.356764749E-3,4.590538281E-2
6.918687917E-1,-3.212394193E-2,4.439398274E-2,2.808711026E-3,5.486950160E-2
7.019067917E-1,-3.256895393E-2,4.893546924E-2,-1.506941277E-3,5.880210695E-2
7.119437917E-1,-2.868673764E-2,5.004372075E-2,-4.824360833E-3,5.788417194E-2
7.219817917E-1,-2.192284167E-2,4.772969708E-2,-7.814291865E-3,5.310177141E-2
7.320197917E-1,-1.445406489E-2,4.274915904E-2,-1.139729656E-2,4.654362426E-2
7.420577917E-1,-3.624586621E-3,3.391359001E-2,-1.205270085E-2,3.617370335E-2
7.520947917E-1,1.015014481E-2,2.515214682E-2,-1.112421043E-2,2.931559290E-2
7.621327917E-1,2.077642269E-2,1.519964822E-2,-1.227549464E-2,2.851976182E-2
7.721707917E-1,2.928888611E-2,3.846307984E-3,-1.463955268E-2,3.296891623E-2
7.822087917E-1,3.692043945E-2,-7.161335554E-3,-9.877287783E-3,3.888398629E-2
7.922457917E-1,3.893955052E-2,-1.729984768E-2,-7.390975952E-3,4.324580731E-2
8.022837917E-1,4.048497975E-2,-2.320727147E-2,-4.455373157E-3,4.687708805E-2
8.123215000E-1,3.421896324E-2,-2.815405652E-2,1.451988705E-3,4.433617727E-2
8.223595000E-1,2.772963792E-2,-2.685283497E-2,3.620068310E-3,3.876999432E-2
8.323965000E-1,1.802554354E-2,-3.195307404E-2,5.828924477E-3,3.714694498E-2
8.424345000E-1,5.577663425E-3,-3.196665645E-2,7.657984272E-3,3.334099844E-2
8.524725000E-1,-5.185533315E-3,-2.925520390E-2,8.122516796E-3,3.080149331E-2
8.625105000E-1,-1.943584159E-2,-2.891059220E-2,8.993903175E-3,3.597866832E-2
8.725475000E-1,-2.778398618E-2,-2.580825798E-2,8.091060445E-3,3.877475116E-2
8.825855000E-1,-3.588905185E-2,-2.206012420E-2,5.210584961E-3,4.244788945E-2
8.926235000E-1,-3.940469399E-2,-2.045903169E-2,2.875525504E-3,4.449236488E-2
9.026615000E-1,-3.992906958E-2,-1.945395581E-2,-1.345052267E-3,4.443642830E-2
9.126985000E-1,-3.592567518E-2,-1.863226295E-2,-4.333304707E-3,4.070126398E-2
9.227365000E-1,-3.233227134E-2,-1.496695355E-2,-7.227362134E-3,3.635409512E-2
9.327745000E-1,-2.311479673E-2,-1.018093619E-2,-9.351128712E-3,2.693304472E-2
9.428125000E-1,-1.460040454E-2,-4.304937087E-3,-8.906912990E-3,1.763625229E-2
9.528495000E-1,-2.018302213E-3,4.394883290E-3,-4.704567604E-3,6.746962227E-3
9.628875000E-1,7.324066944E-3,9.492706507E-3,-3.231307026E-3,1.241751902E-2
9.729255000E-1,1.387437060E-2,1.595234685E-2,2.542564180E-4,2.114332462E-2
9.829635000E-1,1.903717406E-2,2.400973998E-2,2.876671031E-3,3.077591341E-2
9.930005000E-1,2.266846970E-2,2.695986629E-2,4.293956328E-3,3.548424960E-2
1.003038500E0,2.008866519E-2,3.160095587E-2,7.047930732E-3,3.810312597E-2
1.013076500E0,1.829995215E-2,3.070316836E-2,8.867464028E-3,3.682668481E-2
1.023114500E0,1.044655684E-2,2.893083356E-2,9.449098259E-3,3.217777398E-2
1.033151500E0,1.460416242E-3,2.748947963E-2,1.033499371E-2,2.940436024E-2
1.043189500E0,-1.084365416E-2,2.841945551E-2,1.068386715E-2,3.223965422E-2
1.053227500E0,-2.414673753E-2,3.341991082E-2,9.239912964E-3,4.225318170E-2
1.063265500E0,-3.542841971E-2,3.957607597E-2,9.626603685E-3,5.398249912E-2
1.073302500E0,-4.868394136E-2,3.948625550E-2,1.088830177E-2,6.362268177E-2
1.083340500E0,-5.852937698E-2,3.733202443E-2,1.046991907E-2,7.020674628E-2
1.093378500E0,-6.273018569E-2,3.282357752E-2,9.669874795E-3,7.145606984E-2
1.103416500E0,-6.503035873E-2,2.627779357E-2,1.201159228E-2,7.116001926E-2
1.113453500E0,-6.468081474E-2,1.646168344E-2,1.476257574E-2,6.835589557E-2
1.123491500E0,-5.789854750E-2,1.681938767E-3,1.877116784E-2,6.088864806E-2
1.133529500E0,-5.070387945E-2,-1.071138307E-2,2.050814033E-2,5.573330187E-2
1.143567500E0,-3.838383034E-2,-2.710394002E-2,2.051320300E-2,5.127117605E-2
1.153604500E0,-2.554120310E-2,-3.502956033E-2,1.945761591E-2,4.751864865E-2
1.163642500E0,-1.292501017E-2,-3.472463042E-2,1.510308124E-2,4.001198456E-2
1.173680500E0,-1.360830618E-3,-2.484766021E-2,1.029741764E-2,2.693129941E-2
1.183718500E0,6.984450854E-3,-1.027138159E-2,3.416875377E-3,1.288250250E-2
1.193755500E0,1.135446131E-2,4.766820930E-3,-4.651884083E-3,1.316382919E-2
1.203793500E0,1.342160627E-2,1.601601392E-2,-1.602438092E-2,2.633311605E-2
1.213831500E0,7.109007332E-3,2.972492203E-2,-2.868051827E-2,4.191277971E-2
1.223869500E0,-1.061836956E-3,4.019114375E-2,-3.910333291E-2,5.608499067E-2
1.233906500E0,-1.012915932E-2,5.055893213E-2,-5.033599958E-2,7.205913086E-2
1.243944500E0,-2.185053006E-2,5.583811551E-2,-5.814944953E-2,8.352663820E-2
1.253982500E0,-3.180412948E-2,5.432347208E-2,-5.999719352E-2,8.696094239E-2
1.264020500E0,-4.096247256E-2,5.158228055E-2,-6.139695272E-2,9.004577518E-2
1.274057500E0,-4.707149416E-2,4.356209934E-2,-5.699062720E-2,8.579809817E-2
1.284095500E0,-5.385536700E-2,3.567061946E-2,-4.799447209E-2,8.047523221E-2
1.294133500E0,-5.608762801E-2,2.577997930E-2,-3.843171522E-2,7.271468960E-2
1.304171500E0,-5.645567924E-2,1.068651304E-2,-2.172597125E-2,6.142852030E-2
1.314209500E0,-5.443629995E-2,-3.952885512E-3,-6.723356433E-3,5.499217742E-2
1.324246500E0,-4.553814605E-2,-1.788787730E-2,1.035975758E-2,5.001023372E-2
1.334284500E0,-3.397011012E-2,-3.226912022E-2,2.822701633E-2,5.469944197E-2
1.344322500E0,-1.623398997E-2,-4.235850647E-2,4.351702332E-2,6.286109146E-2
1.354360500E0,-4.312242381E-4,-4.735660553E-2,6.094822660E-2,7.718497501E-2
1.364397500E0,1.567344368E-2,-4.538959265E-2,7.166078687E-2,8.626204456E-2
1.374435500E0,2.933326177E-2,-3.848316520E-2,7.893086225E-2,9.258226215E-2
1.384473500E0,3.602311760E-2,-2.839058079E-2,8.102730662E-2,9.310807965E-2
1.394511500E0,4.502287507E-2,-1.591390185E-2,7.665007561E-2,9.030805968E-2
1.404548500E0,4.594459385E-2,-4.645269364E-3,6.491938233E-2,7.966812684E-2
1.414586500E0,4.613824561E-2,8.176481351E-3,4.532865807E-2,6.519416997E-2
1.424624500E0,4.467297345E-2,1.492999122E-2,1.971144788E-2,5.105996839E-2
1.434662500E0,4.292067513E-2,1.900106296E-2,-5.185126327E-3,4.722404347E-2
1.444699500E0,3.983566910E-2,1.784551702E-2,-3.113443404E-2,5.361619153E-2
1.454737500E0,3.675459325E-2,1.353030652E-2,-5.449419841E-2,6.710876977E-2
1.464775500E0,3.191855922E-2,1.293588802E-2,-7.281195372E-2,8.054633590E-2
1.474813500E0,2.719121426E-2,1.379733346E-2,-8.480983973E-2,9.012456634E-2
