"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.247291673E-3,-1.679634623E-1,-1.178553641E-1,-1.793341041E-3,2.051946091E-1
1.928529167E-2,-1.650736587E-1,-1.378304943E-1,1.980451941E-3,2.150592480E-1
2.932329167E-2,-1.623727567E-1,-1.310033035E-1,3.755081892E-3,2.086645114E-1
3.936129167E-2,-1.389392086E-1,-1.365761386E-1,-1.618918598E-2,1.954974042E-1
4.939929167E-2,-1.450490739E-1,-1.406092373E-1,-6.061223745E-3,2.021062341E-1
5.943729167E-2,-1.185322158E-1,-1.367906035E-1,-1.900754392E-2,1.819968190E-1
6.947529168E-2,-8.289330851E-2,-1.266187872E-1,-1.295918405E-2,1.518932464E-1
7.951429168E-2,-6.167631193E-2,-1.113864249E-1,-1.695575595E-2,1.284461007E-1
8.955229167E-2,-2.173378995E-2,-8.282347083E-2,-2.231472909E-2,8.848746849E-2
9.959029168E-2,-1.007870858E-2,-6.831252711E-2,-3.277072012E-2,7.643364327E-2
1.096282917E-1,1.258529115E-2,-5.865701990E-2,-2.736672342E-2,6.593916202E-2
1.196662917E-1,3.646540211E-2,-1.589651456E-2,-3.589020967E-2,5.357734481E-2
1.297042917E-1,4.650608551E-2,-4.701362383E-3,-2.764446616E-2,5.430594173E-2
1.397422917E-1,5.763308108E-2,1.515257514E-2,-2.133765936E-2,6.329666875E-2
1.497812917E-1,5.878978824E-2,3.712397218E-2,-2.400457442E-2,7.355710778E-2
1.598192917E-1,6.008395066E-2,5.012442478E-2,-1.587694466E-2,7.984119524E-2
1.698572917E-1,4.534327531E-2,7.829568853E-2,-1.461803913E-2,9.165104760E-2
1.798952917E-1,3.995033350E-2,9.054192340E-2,-1.588279188E-2,1.002303952E-1
1.899332917E-1,3.464994671E-2,1.088973383E-1,-2.116633594E-2,1.162207506E-1
1.999712917E-1,4.251926658E-2,1.142412275E-1,-2.882151067E-2,1.252582355E-1
2.100092917E-1,3.062206937E-2,1.172761425E-1,-4.364010930E-2,1.288249350E-1
2.200472917E-1,2.236161646E-2,1.350983188E-1,-5.664431691E-2,1.481896632E-1
2.300862917E-1,1.634920782E-2,1.496801235E-1,-6.558938742E-2,1.642358173E-1
2.401242917E-1,2.172000788E-2,1.711416433E-1,-7.691661358E-2,1.888845845E-1
2.501622917E-1,2.546124831E-2,1.714698548E-1,-1.063134903E-1,2.033537423E-1
2.602002917E-1,3.215385258E-2,1.733769790E-1,-9.621768773E-2,2.008763065E-1
2.702382917E-1,2.353554093E-2,1.660124840E-1,-1.081360674E-1,1.995181085E-1
2.802762917E-1,5.529903704E-2,1.622891233E-1,-9.792332053E-2,1.974454855E-1
2.903142917E-1,9.037408090E-2,1.745382178E-1,-9.010266960E-2,2.162164541E-1
3.003531667E-1,1.001226228E-1,1.627135215E-1,-7.495194912E-2,2.052267632E-1
3.103921667E-1,1.126312332E-1,1.787517579E-1,-6.415331125E-2,2.208022486E-1
3.204301667E-1,1.374959148E-1,1.725310331E-1,-3.824722230E-2,2.239083160E-1
