"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.515416703E-4,6.122807972E-3,3.637550399E-2,-1.123617124E-2,3.856057069E-2
1.088954166E-2,1.012740284E-2,2.969709411E-2,-8.673677221E-3,3.255325427E-2
2.092654166E-2,1.206258312E-2,1.701249368E-2,-6.118969992E-3,2.173413552E-2
3.096454167E-2,1.029957086E-2,5.882344674E-3,-3.071514890E-3,1.225223826E-2
4.100254166E-2,8.419378661E-3,-6.721598096E-3,-8.584489115E-5,1.077372672E-2
5.104054167E-2,6.544513628E-3,-1.921821386E-2,2.353610704E-3,2.043795209E-2
6.107854166E-2,4.333341494E-3,-2.949340269E-2,5.042978562E-3,3.023359528E-2
7.111554166E-2,3.583927639E-3,-3.844295815E-2,5.415022373E-3,3.898753693E-2
8.115354167E-2,4.167120904E-3,-4.356596619E-2,6.049938500E-3,4.418099209E-2
9.119154167E-2,2.569756936E-3,-4.433162510E-2,8.028134704E-3,4.512590810E-2
1.012295417E-1,4.279671703E-3,-4.350697249E-2,6.069629453E-3,4.413629625E-2
1.112675417E-1,4.605376627E-3,-3.943446651E-2,6.176955067E-3,4.018011220E-2
1.213045417E-1,3.832106479E-3,-3.099378571E-2,4.129126202E-3,3.150157894E-2
1.313425417E-1,1.587594394E-3,-2.233824693E-2,3.397556022E-3,2.265085249E-2
1.413805417E-1,3.400836140E-4,-1.132382359E-2,2.514763502E-3,1.160468324E-2
1.514185417E-1,-6.183881778E-4,-1.017958857E-4,2.132866299E-3,2.223035085E-3
1.614565417E-1,-1.730550081E-3,1.360798068E-2,-1.310255844E-3,1.378001133E-2
1.714935417E-1,-2.030155621E-3,2.263955958E-2,-1.869519707E-3,2.280715444E-2
1.815315417E-1,-5.874301307E-3,3.247251734E-2,-2.350283321E-3,3.308316233E-2
1.915695417E-1,-5.477490369E-3,3.874745965E-2,-5.146069918E-3,3.946961573E-2
2.016075417E-1,-7.898544893E-3,4.137617350E-2,-6.905432791E-3,4.268559179E-2
2.116455417E-1,-8.218923584E-3,4.317940027E-2,-8.741149679E-3,4.481538809E-2
2.216825417E-1,-1.060639694E-2,3.893409297E-2,-5.575809162E-3,4.073633390E-2
2.317205417E-1,-1.027456671E-2,3.373373672E-2,-5.551308393E-3,3.569802150E-2
2.417585417E-1,-9.075751528E-3,2.466570958E-2,-4.500754178E-3,2.666501984E-2
2.517965417E-1,-9.404918179E-3,1.231716387E-2,-1.308423351E-3,1.555239478E-2
2.618345417E-1,-8.544006385E-3,2.875846578E-3,2.490088111E-3,9.352597364E-3
