"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.796208330E-3,-3.544752977E-2,-7.804479729E-3,5.054040849E-2,6.222354989E-2
1.383420834E-2,-2.284208399E-2,1.384876482E-4,2.971262634E-2,3.747826228E-2
2.387220833E-2,6.828785003E-3,1.377170948E-2,3.049322963E-3,1.567133234E-2
3.390979167E-2,1.686566315E-2,2.786348093E-2,-1.194703102E-2,3.469230049E-2
4.394779167E-2,2.042836251E-2,3.481170902E-2,-2.546988666E-2,4.772722709E-2
5.398579167E-2,3.840488699E-2,5.707558561E-2,-6.701786220E-2,9.604140603E-2
6.402379167E-2,2.137421359E-2,7.067156799E-2,-1.035202754E-1,1.271525656E-1
7.406179167E-2,3.788025470E-2,7.659503499E-2,-1.149241000E-1,1.432105508E-1
8.409979167E-2,2.615591124E-2,1.016472843E-1,-1.263717788E-1,1.642745524E-1
9.413779168E-2,1.186366252E-2,8.379244583E-2,-1.243860644E-1,1.504453837E-1
1.041757917E-1,9.658330316E-3,9.135134250E-2,-1.257203990E-1,1.557047522E-1
1.142137917E-1,1.472205562E-2,8.928528367E-2,-1.026689208E-1,1.368557930E-1
1.242507917E-1,-9.088034928E-4,8.727999933E-2,-8.275739729E-2,1.202805513E-1
1.342887917E-1,3.071167795E-3,7.935071809E-2,-8.079156339E-2,1.132839143E-1
1.443267917E-1,-1.129426248E-4,6.401553623E-2,-5.424403489E-2,8.390719252E-2
1.543647917E-1,1.983092325E-3,6.112702997E-2,-2.182239354E-2,6.493583994E-2
1.644027917E-1,-1.665735152E-2,4.196674582E-2,-2.124001086E-2,4.989802777E-2
1.744407917E-1,-1.109680475E-2,2.154220227E-2,-4.635964930E-2,5.231082716E-2
1.844787917E-1,-2.219210202E-2,4.614147507E-3,-5.033517122E-2,5.520334420E-2
1.945167917E-1,-2.150879092E-2,-1.177572588E-2,-6.221262038E-2,6.687081531E-2
2.045547917E-1,-2.453677154E-2,-1.802068010E-2,-7.676341653E-2,8.257978073E-2
2.145927917E-1,-2.663175582E-2,-4.105532935E-2,-7.663536251E-2,9.092727463E-2
2.246307917E-1,-1.538327978E-2,-4.142830862E-2,-5.540529191E-2,7.087098436E-2
2.346677917E-1,-2.453818310E-2,-5.403441221E-2,-3.014122725E-2,6.656075204E-2
2.447057917E-1,-1.937072910E-3,-5.214422666E-2,-5.045562387E-3,5.242356650E-2
2.547437917E-1,-1.433527144E-3,-4.832944835E-2,2.750998020E-2,5.562903548E-2
2.647817917E-1,-2.013054737E-2,-7.037195301E-2,4.372313976E-2,8.525939044E-2
2.748197917E-1,-1.965386225E-3,-6.897591200E-2,4.164328516E-2,8.059592035E-2
2.848577917E-1,1.000295059E-2,-4.891998058E-2,6.018948376E-2,7.820484305E-2
2.948957917E-1,1.000739995E-2,-6.244526647E-2,7.855675757E-2,1.008500050E-1
3.049337917E-1,2.636764440E-2,-6.040975934E-2,9.375834882E-2,1.146089860E-1
3.149717917E-1,1.988798842E-2,-7.281813568E-2,1.002598679E-1,1.254992194E-1
3.250097917E-1,2.730158178E-2,-5.191423008E-2,9.971373796E-2,1.156861841E-1
3.350477917E-1,1.952153245E-2,-5.117190778E-2,1.145849615E-1,1.270014480E-1
3.450847917E-1,1.762502460E-2,-4.293679889E-2,1.179406786E-1,1.267446798E-1
3.551227917E-1,7.076190747E-3,-3.460711129E-2,1.063468194E-1,1.120596744E-1
3.651607917E-1,7.765824152E-3,-2.951266984E-2,8.056118309E-2,8.614760546E-2
3.751987917E-1,-1.438558490E-2,-2.402520413E-2,6.139225602E-2,6.747714121E-2
3.852367917E-1,-6.022805711E-3,-2.069510518E-2,2.789004922E-2,3.524792777E-2
3.952747917E-1,-2.173998434E-2,-1.266050097E-2,2.055296302E-3,2.524162132E-2
4.053127917E-1,-3.704422621E-2,-1.627682112E-3,-3.558030725E-2,5.138951554E-2
4.153507917E-1,-4.990652007E-2,8.656766228E-3,-7.693941772E-2,9.211554888E-2
4.253887917E-1,-5.862886647E-2,8.888242878E-3,-1.194913602E-1,1.333961394E-1
4.354267917E-1,-6.817310756E-2,2.567178005E-2,-1.596552998E-1,1.754891097E-1
4.454647917E-1,-7.246077944E-2,4.258448588E-2,-1.935516089E-1,2.110123890E-1
4.555017917E-1,-6.424968524E-2,5.505981283E-2,-2.111599141E-1,2.274821188E-1
4.655397917E-1,-5.900052098E-2,3.699186165E-2,-2.199704987E-1,2.307303179E-1
4.755777917E-1,-6.411998212E-2,7.189560950E-2,-2.403404438E-1,2.589283293E-1
4.856157917E-1,-5.953314751E-2,8.824574009E-2,-2.203213316E-1,2.446895900E-1
4.956537917E-1,-5.274903889E-2,8.826837977E-2,-2.024206656E-1,2.270416126E-1
5.056917917E-1,-3.301258472E-2,9.822543886E-2,-1.918676108E-1,2.180624857E-1
5.157297917E-1,-1.918628599E-2,1.125554478E-1,-1.561680204E-1,1.934561785E-1
5.257677917E-1,-6.139119621E-3,9.528540401E-2,-1.273470944E-1,1.591674573E-1
5.358057917E-1,3.770092791E-3,1.082796348E-1,-8.699019670E-2,1.389459868E-1
5.458437917E-1,1.748139323E-2,9.861773221E-2,-6.293182790E-2,1.182855493E-1
5.558817917E-1,3.816811130E-2,8.922862049E-2,-3.421381295E-2,1.029035297E-1
5.659187917E-1,3.734221950E-2,8.029206499E-2,2.006764412E-3,8.857360872E-2
5.759567917E-1,3.158407339E-2,7.304093286E-2,3.030845761E-2,8.515359164E-2
5.859947917E-1,4.059968507E-2,5.145816553E-2,2.629492879E-2,7.062365403E-2
5.960327917E-1,3.451713726E-2,3.313187705E-2,4.205375969E-2,6.369986457E-2
6.060707917E-1,2.182004551E-2,1.873990590E-2,4.674556553E-2,5.488575732E-2
6.161087917E-1,2.674870927E-2,1.722403351E-2,2.704220295E-2,4.175453890E-2
6.261467917E-1,3.166559637E-2,-1.547087381E-2,1.781588137E-2,3.949004379E-2
6.361847917E-1,2.578751838E-2,-3.024062991E-2,1.576467812E-2,4.275531403E-2
6.462227917E-1,1.627463298E-2,-4.450096563E-2,-1.010515809E-2,4.844908503E-2
6.562607917E-1,-4.419485475E-3,-5.966566460E-2,-5.610403419E-3,6.009159684E-2
6.662987917E-1,-2.082680914E-2,-6.953285929E-2,-7.729434371E-3,7.299533311E-2
6.763357917E-1,-1.911067419E-2,-7.128028141E-2,-1.945368648E-3,7.382330828E-2
6.863737917E-1,-2.991160983E-2,-9.471599484E-2,1.204584897E-2,1.000546179E-1
6.964117917E-1,-3.529986930E-2,-8.408826012E-2,2.452673078E-2,9.443768732E-2
7.064497917E-1,-4.411723296E-2,-9.154280227E-2,4.733028710E-2,1.121007180E-1
7.164877917E-1,-4.180653668E-2,-9.663068388E-2,5.487261057E-2,1.187277515E-1
7.265257917E-1,-4.654942799E-2,-8.647640917E-2,9.281987071E-2,1.351315914E-1
7.365637917E-1,-3.938357385E-2,-8.168465249E-2,9.502017796E-2,1.313479446E-1
7.466017917E-1,-2.652619530E-2,-7.433711439E-2,1.105778646E-1,1.358569460E-1
7.566397917E-1,-3.798616240E-2,-6.934432313E-2,1.119513756E-1,1.370572661E-1
7.666777917E-1,-1.436352080E-2,-6.154764578E-2,1.253333133E-1,1.403668866E-1
7.767157917E-1,8.993922165E-3,-5.034299187E-2,1.248234361E-1,1.348932825E-1
7.867527917E-1,1.263206888E-2,-2.929698067E-2,1.069730562E-1,1.116293733E-1
7.967907917E-1,1.854114625E-2,-1.928254578E-2,7.865323663E-2,8.307780876E-2
8.068287917E-1,3.488427845E-2,3.826637194E-3,5.871657014E-2,6.840461712E-2
8.168667917E-1,3.886704544E-2,9.440092128E-3,2.484949708E-2,4.708779104E-2
8.269047917E-1,3.230810487E-2,3.281468388E-2,-1.053434372E-2,4.723970275E-2
8.369427917E-1,1.840859718E-2,4.343527403E-2,-5.807103753E-2,7.481807856E-2
8.469807917E-1,1.978103005E-2,4.759489188E-2,-8.663234711E-2,1.008053890E-1
8.570187917E-1,1.314205572E-2,5.157931253E-2,-1.123869932E-1,1.243542333E-1
8.670567917E-1,1.856682831E-3,6.291752050E-2,-1.622789454E-1,1.740589492E-1
8.770947917E-1,-3.466978613E-3,8.128223615E-2,-1.726823115E-1,1.908874081E-1
8.871327917E-1,-1.749920439E-2,7.009545280E-2,-1.886504728E-1,2.020113748E-1
8.971697917E-1,-2.213487696E-2,7.418316817E-2,-1.898128992E-1,2.049927607E-1
9.072077917E-1,-5.620043102E-2,8.464612104E-2,-1.917302012E-1,2.169883046E-1
9.172457917E-1,-6.792812750E-2,8.642588558E-2,-1.848123604E-1,2.150331899E-1
9.272837917E-1,-8.615433723E-2,7.196767643E-2,-1.680027848E-1,2.020565564E-1
9.373217917E-1,-7.381478901E-2,8.466642184E-2,-1.586525023E-1,1.943904384E-1
9.473597917E-1,-8.317353632E-2,7.090037685E-2,-1.423832095E-1,1.794928381E-1
9.573977917E-1,-8.046647647E-2,7.974290181E-2,-1.188926053E-1,1.642231282E-1
9.674357917E-1,-8.062166523E-2,7.085443966E-2,-9.850570321E-2,1.456831428E-1
9.774737917E-1,-7.140158373E-2,6.521500116E-2,-7.972561598E-2,1.253289926E-1
9.875117917E-1,-5.992769295E-2,5.643542513E-2,-6.989059925E-2,1.079860244E-1
9.975497917E-1,-4.368109463E-2,3.998947330E-2,-5.853179812E-2,8.326564354E-2
1.007586792E0,-1.879455909E-2,3.906354843E-2,-4.132344246E-2,5.989009237E-2
1.017624792E0,-3.553206772E-3,3.552583678E-2,-4.911485732E-2,6.072050367E-2
1.027663583E0,1.148498221E-2,4.383748937E-3,-4.030953526E-2,4.214238608E-2
1.037701583E0,2.879534438E-2,-7.022505999E-3,-2.211124599E-2,3.697829969E-2
1.047739583E0,3.447348414E-2,6.335750520E-3,-3.207197785E-3,3.519728627E-2
1.057777583E0,4.468569196E-2,-1.460979821E-2,-1.564071715E-2,4.954683948E-2
1.067815583E0,6.250558415E-2,-2.014963305E-2,1.079396009E-2,6.655422854E-2
1.077853583E0,6.228925545E-2,-4.104113158E-2,3.239532888E-2,8.132516928E-2
1.087891583E0,5.146156423E-2,-4.847970352E-2,3.495290101E-2,7.886874878E-2
1.097929583E0,4.754297957E-2,-6.098737288E-2,3.958506525E-2,8.687215865E-2
1.107966583E0,3.121278433E-2,-6.659554705E-2,6.682022631E-2,9.936874477E-2
1.118004583E0,1.725447101E-2,-6.257880226E-2,9.736081839E-2,1.170168886E-1
1.128042583E0,5.723231840E-3,-7.708346022E-2,1.009796602E-1,1.271672402E-1
1.138080583E0,-1.130870237E-2,-8.961972613E-2,9.534996092E-2,1.313438126E-1
1.148118583E0,-2.691840643E-2,-9.078038016E-2,9.275321245E-2,1.325474875E-1
1.158156583E0,-3.875550980E-2,-7.779539527E-2,1.183382893E-1,1.468266453E-1
1.168194583E0,-5.669306350E-2,-9.192067858E-2,1.063918430E-1,1.516005899E-1
1.178232583E0,-5.896527780E-2,-7.463793537E-2,9.807768703E-2,1.366270767E-1
1.188270583E0,-5.340823936E-2,-8.047723901E-2,1.059638268E-1,1.433783757E-1
1.198308583E0,-4.810987169E-2,-8.438464087E-2,7.391056001E-2,1.220577660E-1
1.208346583E0,-4.582380680E-2,-5.252822427E-2,5.190690279E-2,8.691008096E-2
1.218383583E0,-4.191020141E-2,-3.297869828E-2,1.270132184E-2,5.482137447E-2
1.228421583E0,-2.959913554E-2,-1.058369787E-2,-1.079454482E-2,3.323621042E-2
1.238459583E0,-1.016027723E-2,1.610250100E-3,-2.053717554E-2,2.296953891E-2
1.248497583E0,-1.301416615E-3,1.554294074E-2,-3.240936220E-2,3.596725525E-2
1.258535583E0,7.379341470E-3,3.058340466E-2,-6.573030531E-2,7.287161558E-2
1.268573583E0,1.773874381E-2,6.114150183E-2,-8.488402963E-2,1.061048762E-1
1.278611583E0,4.480578829E-2,6.554111134E-2,-7.863744915E-2,1.117454444E-1
1.288649583E0,2.322943462E-2,7.765952060E-2,-9.159780264E-2,1.223142069E-1
1.298687583E0,5.056263705E-2,9.003997648E-2,-9.935354948E-2,1.433000538E-1
1.308725583E0,4.790896959E-2,1.066843682E-1,-1.002446651E-1,1.540318690E-1
1.318762583E0,3.387844772E-2,1.062221641E-1,-9.335606039E-2,1.454175071E-1
1.328800583E0,2.187445203E-2,1.132627782E-1,-9.304148018E-2,1.482014359E-1
1.338838583E0,1.602361841E-2,1.075799972E-1,-1.043798161E-1,1.507493222E-1
1.348876583E0,6.735270666E-3,1.004562064E-1,-8.664638042E-2,1.328322571E-1
1.358914583E0,-1.256443304E-2,9.887298144E-2,-1.006077772E-1,1.416179942E-1
1.368952583E0,-2.397579059E-2,8.551995087E-2,-1.232113588E-1,1.518866007E-1
1.378990583E0,-4.263152399E-2,7.590117149E-2,-1.095546019E-1,1.399308596E-1
1.389028583E0,-5.836549052E-2,5.820720457E-2,-1.394256878E-1,1.619695390E-1
1.399066583E0,-8.310805664E-2,5.305633748E-2,-1.188288707E-1,1.544092760E-1
1.409104583E0,-8.024327729E-2,4.210671354E-2,-1.265080190E-1,1.556156732E-1
1.419142583E0,-8.729750443E-2,3.405546304E-2,-1.434637749E-1,1.713548469E-1
1.429179583E0,-7.636678345E-2,9.612475354E-3,-1.259975570E-1,1.476471120E-1
1.439217583E0,-7.695542447E-2,-7.252228484E-3,-1.377381814E-1,1.579447333E-1
1.449255583E0,-5.941504746E-2,-6.923322603E-3,-1.295941794E-1,1.427330781E-1
1.459293583E0,-6.163677013E-2,-2.265651712E-2,-1.063655305E-1,1.250041410E-1
1.469331583E0,-4.735169339E-2,-1.781756245E-2,-8.421510816E-2,9.824374199E-2
1.479369583E0,-3.519529550E-2,-2.930496577E-2,-4.458326519E-2,6.391523589E-2
1.489407583E0,-1.706870771E-2,-4.070972236E-2,-2.099735141E-2,4.888262517E-2
1.499445583E0,3.985178964E-3,-4.920353400E-2,1.693762958E-2,5.218958426E-2
1.509483583E0,2.012882061E-2,-5.242704917E-2,6.578526914E-2,8.649547121E-2
1.519521583E0,3.970588334E-3,-5.553762171E-2,9.112593234E-2,1.067901144E-1
1.529558583E0,3.270662916E-2,-4.911315797E-2,1.220103407E-1,1.355298827E-1
1.539596583E0,4.694754115E-2,-5.325094013E-2,1.276108038E-1,1.460282558E-1
1.549634583E0,4.468003660E-2,-5.350017769E-2,1.591319740E-1,1.737284082E-1
1.559672583E0,5.134760748E-2,-4.748379478E-2,1.592465794E-1,1.739274579E-1
1.569710583E0,3.131188550E-2,-6.354076060E-2,1.559469956E-1,1.712814289E-1
1.579748583E0,2.821967687E-2,-6.981526153E-2,1.613632715E-1,1.780691615E-1
1.589786583E0,2.049883059E-2,-5.767675247E-2,1.460038054E-1,1.583158900E-1
1.599824583E0,3.919251608E-3,-5.669513287E-2,1.243848950E-1,1.367526991E-1
1.609862583E0,6.515534129E-3,-7.348967012E-2,9.484651566E-2,1.201625787E-1
