"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.610625001E-3,6.406144798E-2,-4.195305705E-2,-1.232757047E-2,7.756221443E-2
1.264762500E-2,6.532426178E-2,-4.373794794E-2,-1.221776009E-2,7.955841206E-2
2.268562501E-2,6.344380230E-2,-3.966171294E-2,-1.076047868E-2,7.559070991E-2
3.272362500E-2,5.703791603E-2,-3.887160495E-2,-9.944388643E-3,6.973676507E-2
4.276162501E-2,4.589018971E-2,-3.450695053E-2,-9.593117982E-3,5.821225866E-2
5.279962500E-2,2.801451460E-2,-2.326683886E-2,-3.992169164E-3,3.663463161E-2
6.283762501E-2,6.535056513E-3,-1.231538691E-2,6.728735752E-5,1.394203163E-2
7.287562500E-2,-1.248513162E-2,-7.683024742E-4,4.586100578E-3,1.332295458E-2
8.291262500E-2,-3.351611644E-2,1.283618994E-2,6.930748001E-3,3.655315446E-2
9.295062500E-2,-4.633469135E-2,1.955179125E-2,9.500617161E-3,5.118044441E-2
1.029886250E-1,-5.714499578E-2,3.189500794E-2,1.055389643E-2,6.628896442E-2
1.130266250E-1,-6.099711731E-2,3.282412887E-2,1.274473313E-2,7.043081697E-2
1.230646250E-1,-5.902717635E-2,3.730569407E-2,1.293887757E-2,7.101645521E-2
1.331026250E-1,-5.245322362E-2,3.665293753E-2,1.263317931E-2,6.522557564E-2
1.431406250E-1,-4.267010093E-2,3.008504957E-2,1.179588120E-2,5.352560634E-2
1.531776250E-1,-2.667158470E-2,2.815068141E-2,8.969429880E-3,3.980307735E-2
1.632156250E-1,-7.249151822E-3,1.655980572E-2,6.675116718E-3,1.927004283E-2
1.732536250E-1,1.126374677E-2,6.255192682E-3,4.164642654E-3,1.354044590E-2
1.832916250E-1,2.807788178E-2,-6.358869839E-3,-8.674006676E-4,2.880199741E-2
1.933296250E-1,4.231092334E-2,-1.678024232E-2,-2.561921254E-3,4.558897023E-2
2.033676250E-1,5.330125615E-2,-2.668587118E-2,-6.410455331E-3,5.995209392E-2
2.134056250E-1,5.607534945E-2,-3.171712160E-2,-8.811817504E-3,6.502360146E-2
2.234426250E-1,5.383749306E-2,-4.014256597E-2,-1.087097358E-2,6.802998845E-2
2.334806250E-1,4.588722438E-2,-3.689988330E-2,-1.113172993E-2,5.992623933E-2
2.435186250E-1,3.929829597E-2,-3.759017587E-2,-1.009842381E-2,5.531144142E-2
2.535566250E-1,2.966852486E-2,-3.394790366E-2,-1.060068887E-2,4.631475073E-2
2.635946250E-1,1.634766161E-2,-2.418049425E-2,-8.677886799E-3,3.045074813E-2
2.736326250E-1,4.077930003E-3,-1.465611346E-2,-6.732953712E-3,1.663622074E-2
2.836706250E-1,-1.045147888E-2,7.667853497E-4,-4.681521095E-3,1.147771800E-2
2.937076250E-1,-1.932140253E-2,8.364783600E-3,-2.998669632E-3,2.126683381E-2
3.037456250E-1,-2.884753048E-2,2.067204937E-2,6.919389125E-4,3.549637192E-2
3.137836250E-1,-3.353738040E-2,3.147043288E-2,3.061755793E-3,4.609249807E-2
3.238216250E-1,-3.767699748E-2,3.591977805E-2,4.945143126E-3,5.228997069E-2
3.338596250E-1,-3.344275802E-2,4.121193662E-2,7.059313357E-3,5.354134561E-2
3.438976250E-1,-2.951326221E-2,4.096585885E-2,7.744277827E-3,5.108040795E-2
3.539346250E-1,-2.291641384E-2,3.800731152E-2,8.045569062E-3,4.510486597E-2
3.639726250E-1,-1.191542670E-2,3.551938757E-2,7.835712284E-3,3.827535335E-2
3.740106250E-1,1.515075564E-3,2.871799096E-2,7.528018672E-3,2.972691582E-2
3.840486250E-1,1.911217906E-2,1.635426469E-2,7.812710479E-3,2.633962427E-2
3.940866250E-1,2.763774432E-2,8.807783946E-3,5.967433099E-3,2.961472990E-2
4.041246250E-1,3.548794612E-2,-6.357054692E-3,2.119964920E-3,3.611510371E-2
4.141626250E-1,4.069264233E-2,-1.199901104E-2,-1.116743661E-3,4.243953961E-2
4.241996250E-1,4.206470400E-2,-2.113205567E-2,-1.124999486E-3,4.708788298E-2
4.342376250E-1,4.298916832E-2,-3.051977605E-2,-4.568314180E-3,5.291875676E-2
4.442756250E-1,3.570329025E-2,-3.200582042E-2,-7.828289643E-3,4.858373797E-2
4.543136250E-1,2.616456710E-2,-3.645535186E-2,-1.002927870E-2,4.598003569E-2
4.643516250E-1,1.189907826E-2,-3.226486593E-2,-1.031769905E-2,3.590354510E-2
4.743896250E-1,-1.028661849E-3,-3.009348549E-2,-9.801795706E-3,3.166624722E-2
4.844276250E-1,-1.476045325E-2,-2.633203752E-2,-9.302186780E-3,3.158762193E-2
4.944646250E-1,-2.735464275E-2,-1.657087542E-2,-6.433179602E-3,3.262293966E-2
5.045026667E-1,-3.725095093E-2,-9.013623931E-3,-4.717838019E-3,3.861523996E-2
5.145406667E-1,-4.004989564E-2,1.933914842E-3,-3.017305629E-3,4.020992789E-2
5.245786667E-1,-4.355328530E-2,9.422190487E-3,-8.135398384E-4,4.456824184E-2
5.346166667E-1,-4.106792063E-2,1.530097798E-2,2.876552287E-3,4.392002487E-2
5.446546667E-1,-3.851421550E-2,2.456158772E-2,6.743729115E-3,4.617460632E-2
5.546926667E-1,-2.843097784E-2,2.813588269E-2,9.397704154E-3,4.108850495E-2
5.647296667E-1,-1.480757631E-2,2.778700739E-2,1.019532140E-2,3.309571988E-2
5.747676667E-1,-3.258504439E-3,2.667332441E-2,1.169936452E-2,2.930800601E-2
5.848056667E-1,1.092096418E-2,2.238004282E-2,1.131613646E-2,2.735303858E-2
5.948436667E-1,2.189211920E-2,2.086334676E-2,1.353700086E-2,3.313298226E-2
6.048816667E-1,3.257219493E-2,1.389438845E-2,1.119661517E-2,3.713981832E-2
6.149196667E-1,3.694811463E-2,5.161567125E-3,8.273627609E-3,3.821332050E-2
6.249576667E-1,3.805252910E-2,-5.698218010E-4,7.027533837E-3,3.870020542E-2
6.349946667E-1,3.593288362E-2,-8.423300460E-3,1.901377458E-3,3.695591092E-2
6.450326667E-1,3.179273009E-2,-1.623248868E-2,-1.212923089E-3,3.571753852E-2
6.550706667E-1,2.293671668E-2,-2.013054118E-2,-4.084908403E-3,3.078990316E-2
6.651086667E-1,1.107792649E-2,-2.705768868E-2,-8.684188128E-3,3.050006714E-2
6.751466667E-1,-1.661900431E-3,-2.595757879E-2,-1.212996338E-2,2.870006657E-2
6.851846667E-1,-1.462510321E-2,-2.675200067E-2,-1.191318221E-2,3.273357748E-2
6.952226667E-1,-2.446548268E-2,-2.614586242E-2,-1.378857996E-2,3.837044307E-2
7.052596667E-1,-3.508537263E-2,-2.006293833E-2,-1.344476640E-2,4.259420865E-2
7.152976667E-1,-3.922548145E-2,-1.948279329E-2,-1.091018692E-2,4.513590376E-2
7.253356667E-1,-4.022309929E-2,-7.846375927E-3,-1.185880508E-2,4.266256661E-2
7.353736667E-1,-3.570021316E-2,-4.330629949E-3,-8.890929632E-3,3.704467850E-2
7.454116667E-1,-2.851660177E-2,2.464691876E-3,-4.611229990E-3,2.899197690E-2
7.554496667E-1,-2.077810839E-2,8.689264767E-3,-5.109625636E-4,2.252763177E-2
7.654866667E-1,-7.616234943E-3,1.366538182E-2,1.497593476E-3,1.571599444E-2
7.755246667E-1,4.798969720E-3,2.165106125E-2,6.083177403E-3,2.299573028E-2
7.855626667E-1,2.102241479E-2,2.356028184E-2,9.282965213E-3,3.291203803E-2
7.956006667E-1,3.018049337E-2,2.422609553E-2,1.110078301E-2,4.026156068E-2
8.056386667E-1,3.884508833E-2,2.450732514E-2,1.249361597E-2,4.759874277E-2
8.156766667E-1,4.385895655E-2,2.412056923E-2,1.144101191E-2,5.134497719E-2
8.257146667E-1,4.502222314E-2,2.081904747E-2,1.143115852E-2,5.090289480E-2
8.357516667E-1,4.294021055E-2,1.727185026E-2,9.704890661E-3,4.729020402E-2
8.457896667E-1,3.317679465E-2,9.715396911E-3,5.616938695E-3,3.502340133E-2
8.558276667E-1,2.433153614E-2,5.143424030E-3,3.321011318E-3,2.508998960E-2
8.658656667E-1,1.291642897E-2,4.685111344E-4,-6.604143418E-4,1.294178454E-2
8.759036667E-1,-8.953178767E-4,-6.755329669E-3,-5.046075676E-3,8.479325018E-3
8.859416667E-1,-1.677468233E-2,-1.019506808E-2,-8.124424145E-3,2.124466164E-2
8.959796667E-1,-2.686130442E-2,-1.652956381E-2,-1.031853072E-2,3.318475902E-2
9.060166667E-1,-3.686174005E-2,-1.759509370E-2,-1.380806975E-2,4.311656285E-2
9.160546667E-1,-4.255530983E-2,-2.249102481E-2,-1.231648866E-2,4.968396607E-2
9.260926667E-1,-4.464802146E-2,-2.295841090E-2,-1.324673090E-2,5.192311943E-2
9.361306667E-1,-4.275304452E-2,-2.038478851E-2,-1.237442624E-2,4.895394614E-2
9.461686667E-1,-3.704775125E-2,-2.040902339E-2,-7.770352997E-3,4.300514497E-2
9.562066667E-1,-2.572462708E-2,-1.691295020E-2,-6.861965172E-3,3.154189102E-2
9.662446667E-1,-1.260083448E-2,-1.324790902E-2,-2.889061114E-3,1.851039700E-2
9.762816667E-1,-1.367233461E-3,-9.483230300E-3,3.142933594E-3,1.008360133E-2
9.863196667E-1,1.189743914E-2,-2.036766149E-3,6.062556989E-3,1.350748206E-2
9.963576667E-1,2.220153995E-2,4.069371149E-3,1.080955472E-2,2.502627881E-2
1.006395667E0,3.393889219E-2,6.923747249E-3,1.258242037E-2,3.685246235E-2
1.016433667E0,3.803681582E-2,1.411375683E-2,1.568738930E-2,4.349818011E-2
1.026471667E0,3.899502009E-2,1.519846264E-2,1.465594769E-2,4.434412770E-2
1.036509667E0,3.653815389E-2,1.947033964E-2,1.443856210E-2,4.384749583E-2
1.046546667E0,3.084351867E-2,2.220593952E-2,1.430806890E-2,4.060969379E-2
1.056584667E0,2.168890275E-2,1.897475123E-2,1.142727118E-2,3.100051957E-2
1.066622667E0,9.603211656E-3,1.944320090E-2,7.595248520E-3,2.297710895E-2
1.076660667E0,-4.247629084E-3,1.686387882E-2,3.894363763E-3,1.782130272E-2
1.086698667E0,-1.402941998E-2,1.432934869E-2,-3.339368850E-4,2.005657929E-2
1.096736667E0,-2.550946176E-2,8.934184909E-3,-6.153482944E-3,2.772034725E-2
1.106774667E0,-3.528885543E-2,-1.362129115E-3,-8.392401971E-3,3.629863805E-2
1.116811667E0,-3.894283995E-2,-6.003811024E-3,-1.241285633E-2,4.131185705E-2
1.126849667E0,-4.071011394E-2,-9.498410858E-3,-1.585499197E-2,4.470921557E-2
1.136887667E0,-3.481409699E-2,-1.784598082E-2,-1.525413431E-2,4.199034406E-2
