"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.436791667E-3,2.159161124E-2,7.534502819E-4,1.254093271E-1,1.272566882E-1
1.347479167E-2,3.566761348E-2,-6.801590882E-3,1.053995705E-1,1.114787412E-1
2.351279167E-2,1.970796727E-2,-1.270499462E-2,8.059802055E-2,8.393963176E-2
3.355079168E-2,2.626162707E-2,-9.389367532E-3,8.348420620E-2,8.801957716E-2
4.358879167E-2,2.015956418E-2,-4.930116422E-3,6.346217036E-2,6.676946265E-2
5.362679168E-2,1.149189837E-2,-2.950596381E-3,3.176090598E-2,3.390464416E-2
6.366579168E-2,8.691611979E-3,-1.259674804E-2,-4.734490514E-3,1.601991200E-2
7.370379167E-2,5.970098544E-3,-1.017011700E-2,-2.866012752E-2,3.099155153E-2
8.374179168E-2,-8.618375603E-3,-2.270086460E-2,-5.647942543E-2,6.147789154E-2
9.377979167E-2,-1.084552523E-2,-2.179609934E-2,-8.714631736E-2,9.048301495E-2
1.038177917E-1,-3.110901453E-3,-1.709033327E-2,-1.166162843E-1,1.179029896E-1
1.138557917E-1,-1.355507014E-2,-1.299220255E-2,-1.371072668E-1,1.383869208E-1
1.238937917E-1,-7.782077584E-3,-1.033645201E-2,-1.513183397E-1,1.518704807E-1
1.339317917E-1,-1.719294277E-2,-3.047661988E-2,-1.490671617E-1,1.531190397E-1
1.439697917E-1,-1.382159354E-2,-1.541605616E-2,-1.724221104E-1,1.736608056E-1
1.540077917E-1,-2.973178511E-2,-1.858276198E-2,-1.680934167E-1,1.717110795E-1
1.640457917E-1,-1.941969040E-2,-2.793397643E-3,-1.645231068E-1,1.656888051E-1
1.740837917E-1,-1.741679977E-2,4.283469189E-3,-1.681442875E-1,1.690981799E-1
1.841217917E-1,-6.718989825E-3,1.893967967E-3,-1.464745063E-1,1.466407615E-1
1.941597917E-1,-2.365870248E-2,1.694382397E-2,-1.415757090E-1,1.445354930E-1
2.041977917E-1,-2.110565281E-2,3.023748703E-2,-1.169209242E-1,1.225979474E-1
2.142357917E-1,-1.914562044E-2,3.320081938E-2,-9.361450732E-2,1.011559448E-1
2.242737917E-1,-1.016357543E-2,4.026297681E-2,-7.270018637E-2,8.372408653E-2
2.343117917E-1,-1.581845423E-2,3.720486475E-2,-4.309807241E-2,5.909204093E-2
2.443497917E-1,-2.331298585E-2,5.215074996E-2,-2.935770035E-2,6.422671251E-2
2.543877917E-1,-8.189034658E-3,4.829012582E-2,5.941355824E-3,4.933858783E-2
2.644257917E-1,-5.246560425E-3,1.986266267E-2,2.777368963E-2,3.454605043E-2
2.744637917E-1,-4.836835060E-4,1.676668989E-2,4.272560477E-2,4.590025210E-2
2.845017917E-1,-7.947891830E-3,2.610438265E-2,6.950643718E-2,7.467096215E-2
2.945397917E-1,8.349010823E-3,2.999404186E-2,8.985182405E-2,9.509310602E-2
3.045777917E-1,1.713455284E-2,3.663496222E-2,9.747951686E-2,1.055365793E-1
3.146167917E-1,2.035322579E-2,3.321169155E-2,9.463016868E-2,1.023334700E-1
3.246547917E-1,2.094957783E-2,1.479340078E-2,1.022642934E-1,1.054310923E-1
3.346927917E-1,2.002830332E-2,-1.503339244E-2,8.775735140E-2,9.126055307E-2
3.447307917E-1,1.524794871E-2,-4.735802483E-2,5.620402157E-2,7.506113839E-2
3.547687917E-1,1.557936707E-2,-3.496963866E-2,5.565204442E-2,6.754807439E-2
3.648067917E-1,1.758517217E-2,-3.163347322E-2,4.942125142E-2,6.125663229E-2
3.748447917E-1,2.151818301E-2,-3.989898764E-2,1.820004344E-2,4.884877681E-2
3.848827917E-1,1.728228640E-2,-2.613570180E-2,-4.787115455E-3,3.169651094E-2
3.949207917E-1,3.550410158E-2,-2.226712910E-2,-8.921681643E-3,4.284813498E-2
4.049587917E-1,2.096285284E-2,-2.050808564E-2,-1.651253700E-2,3.365541047E-2
4.149967917E-1,8.074356141E-3,-1.308632445E-2,-2.951031268E-2,3.327620274E-2
4.250347917E-1,1.225533460E-2,-2.313085422E-2,-5.031295180E-2,5.671527803E-2
4.350727917E-1,1.515969230E-2,-1.290842291E-2,-5.765939355E-2,6.100040424E-2
4.451107917E-1,4.371625101E-3,6.040594038E-3,-5.365054250E-2,5.416623111E-2
4.551487917E-1,8.054868467E-3,1.493419077E-2,-6.522159755E-2,6.739263867E-2
4.651867917E-1,4.261715719E-3,6.301489491E-3,-6.886792123E-2,6.928680658E-2
4.752247917E-1,9.531646734E-3,1.581765024E-2,-6.203486502E-2,6.472538008E-2
4.852627917E-1,1.377767547E-2,3.742252735E-2,-5.115787446E-2,6.486445879E-2
4.953007917E-1,-4.053719295E-3,2.043572634E-2,-5.209635258E-2,5.610776687E-2
5.053387917E-1,-7.116225902E-3,2.553667283E-2,-4.748465359E-2,5.438340424E-2
5.153767917E-1,-1.472722675E-2,4.776605085E-2,-4.689466953E-2,6.853901700E-2
5.254147917E-1,-1.478626535E-2,3.812625803E-2,-4.957737207E-2,6.426632879E-2
5.354527917E-1,-2.067739908E-2,3.785246216E-2,-5.163968503E-2,6.728313901E-2
5.454907917E-1,-1.870249285E-2,4.855628377E-2,-4.695606530E-2,7.008828718E-2
5.555287917E-1,-3.069130406E-2,4.404709378E-2,-4.839448035E-2,7.227813185E-2
5.655677917E-1,-1.991722450E-2,5.174272394E-2,-6.404279888E-2,8.470823691E-2
5.756057917E-1,-1.504565332E-2,3.930787068E-2,-6.338147879E-2,7.608345572E-2
5.856437917E-1,-3.123728782E-2,4.413138505E-2,-7.604654789E-2,9.330822441E-2
5.956817917E-1,-2.328610693E-2,3.489563484E-2,-8.616340041E-2,9.583360411E-2
6.057197917E-1,-2.344320517E-2,4.275010826E-2,-8.762754321E-2,1.002783225E-1
6.157577917E-1,-3.179872102E-2,3.197707023E-2,-8.776319861E-2,9.867152938E-2
6.257957917E-1,-1.731601752E-2,2.429929236E-2,-7.608864784E-2,8.172993578E-2
6.358337917E-1,-1.578044733E-2,1.760190982E-2,-6.368904233E-2,6.793485012E-2
6.458717917E-1,-1.825771160E-2,1.988261629E-2,-5.862944663E-2,6.454513518E-2
6.559097917E-1,-2.520171873E-2,3.431109600E-3,-3.966868043E-2,4.712221713E-2
6.659477917E-1,-1.308515500E-2,-7.527741976E-4,-2.281525075E-2,2.631204320E-2
6.759857917E-1,-8.580889469E-3,6.058300138E-3,-8.509452939E-3,1.351833769E-2
6.860237917E-1,-1.082863226E-2,-9.733110722E-3,1.807725191E-2,2.321162979E-2
6.960617917E-1,-7.691838602E-3,-1.702592254E-2,1.893211484E-2,2.659833438E-2
7.060997917E-1,-2.791003939E-3,-2.081837179E-2,4.061125159E-2,4.572163670E-2
7.161377917E-1,-1.172549464E-2,-2.321976844E-2,4.988610506E-2,5.626071764E-2
7.261757917E-1,6.188482912E-3,-2.589759221E-2,5.963458300E-2,6.530900468E-2
7.362137917E-1,1.448337958E-2,-3.339074425E-2,6.146943927E-2,7.143669960E-2
7.462517917E-1,5.536481822E-3,-4.257282799E-2,6.017603517E-2,7.392058930E-2
7.562897917E-1,6.271942779E-3,-4.298885738E-2,4.781502128E-2,6.460383414E-2
7.663277917E-1,2.290365335E-2,-4.457696116E-2,6.195592761E-2,7.968826619E-2
7.763657917E-1,2.566256155E-2,-4.114163060E-2,4.705488324E-2,6.756746903E-2
7.864037917E-1,2.859062788E-2,-5.193226509E-2,2.525938690E-2,6.443927984E-2
7.964417917E-1,2.218260943E-2,-3.700291654E-2,1.736798465E-2,4.650732076E-2
8.064797917E-1,3.390991305E-2,-4.012123665E-2,1.824916005E-3,5.256354394E-2
8.165177917E-1,2.889485668E-2,-2.431400176E-2,1.765859127E-4,3.776393262E-2
8.265567917E-1,4.762705157E-2,-4.078675942E-2,-1.391812742E-2,6.423091200E-2
8.365947917E-1,2.664408979E-2,-2.571961759E-2,-2.010097325E-2,4.213615283E-2
8.466327917E-1,3.286181792E-2,-9.099400453E-3,-2.554940879E-2,4.260833786E-2
8.566707917E-1,1.418685266E-2,4.636312108E-3,-2.157447159E-2,2.623394753E-2
8.667087917E-1,1.330833592E-2,-4.253100213E-3,-4.634269238E-2,4.840295242E-2
8.767467917E-1,1.159691071E-2,8.983205315E-3,-4.386171877E-2,4.624972097E-2
8.867847917E-1,3.004790020E-2,1.090549573E-2,-2.939570725E-2,4.342710845E-2
8.968227917E-1,2.129764248E-2,2.122718353E-2,-3.721577346E-2,4.784555037E-2
9.068607917E-1,7.255124683E-3,1.837025223E-2,-3.408751309E-2,3.939621238E-2
9.168987917E-1,8.114537476E-3,1.937778231E-2,-3.692341268E-2,4.248155564E-2
9.269367917E-1,6.995471762E-3,2.384405008E-2,-3.808876276E-2,4.547778796E-2
9.369747917E-1,1.577578783E-3,2.177517727E-2,-5.495096326E-2,5.912914225E-2
9.470127917E-1,3.826554967E-3,3.398094758E-2,-5.488488972E-2,6.466605324E-2
9.570507917E-1,4.240629198E-3,3.212166091E-2,-5.660163224E-2,6.521908316E-2
9.670887917E-1,-8.660557782E-3,3.934470814E-2,-7.118575752E-2,8.179500836E-2
9.771267917E-1,-1.168282824E-2,2.705256348E-2,-7.634651005E-2,8.183592893E-2
9.871647917E-1,-5.405202694E-4,2.082982868E-2,-8.601137280E-2,8.849932303E-2
9.972027917E-1,-9.189319666E-3,4.910361970E-2,-7.787906528E-2,9.252436366E-2
1.007240792E0,-5.196128190E-3,3.617489599E-2,-7.860412002E-2,8.668466145E-2
1.017278792E0,-1.671316959E-3,3.334202964E-2,-9.492486835E-2,1.006241267E-1
1.027316792E0,9.993933085E-3,3.498248426E-2,-9.181239545E-2,9.875813315E-2
1.037354792E0,-6.480459971E-3,2.556188894E-2,-7.225462854E-2,7.691643435E-2
1.047392583E0,-1.918910910E-2,2.911140466E-2,-7.396786273E-2,8.177371525E-2
1.057430583E0,-4.698575819E-3,2.524542667E-2,-5.503633261E-2,6.073224917E-2
1.067468583E0,-1.967787238E-2,-3.686669469E-3,-3.520842433E-2,4.050238680E-2
1.077506583E0,-1.277042862E-2,8.019565903E-3,-2.539913535E-2,2.953833714E-2
1.087545583E0,-3.438188385E-2,1.498802170E-2,-1.423621595E-2,4.011763423E-2
1.097583583E0,-2.502482219E-2,-4.981809463E-3,5.623267293E-3,2.612817035E-2
1.107621583E0,-3.580290344E-2,-1.262702566E-2,1.412804246E-2,4.050791596E-2
1.117659583E0,-2.323169128E-2,-2.515008051E-2,1.562434494E-2,3.763453446E-2
1.127697583E0,-2.707633607E-2,-2.618790647E-2,1.654411197E-2,4.114173138E-2
1.137735583E0,-2.169581045E-2,-2.490237784E-2,3.949443340E-2,5.148443340E-2
1.147773583E0,-8.009287594E-3,-4.199051840E-2,4.165439487E-2,5.968618714E-2
1.157811583E0,-1.810530941E-2,-4.157728471E-2,3.230235815E-2,5.567688187E-2
1.167849583E0,-1.732331741E-2,-4.093345145E-2,4.541006148E-2,6.354304413E-2
1.177887583E0,-1.640959860E-2,-4.073183214E-2,2.169083118E-2,4.897804848E-2
1.187925583E0,-3.014422394E-3,-4.601130143E-2,3.852613449E-2,6.008651796E-2
1.197963583E0,7.732878746E-3,-3.670461718E-2,3.708128750E-2,5.274512507E-2
1.208001583E0,-2.061454151E-3,-3.401846113E-2,2.049215198E-2,3.976724259E-2
1.218039583E0,-2.846598169E-3,-3.654994005E-2,2.602829576E-2,4.496079869E-2
1.228077583E0,1.384176644E-2,-2.531544708E-2,1.506008863E-2,3.254646876E-2
1.238115583E0,3.876201482E-3,-2.969486542E-2,-1.615000963E-3,2.999030174E-2
1.248153583E0,1.397482714E-2,-2.611636944E-2,7.441751361E-3,3.054079582E-2
1.258191583E0,2.287660084E-2,-2.295881817E-2,5.708051920E-3,3.290939158E-2
1.268229583E0,2.400412674E-2,-9.467245135E-3,5.309271812E-4,2.580908202E-2
1.278267583E0,1.920147048E-2,-4.634868577E-3,1.499226093E-3,1.980974897E-2
1.288305583E0,2.980990939E-2,1.177722422E-2,-8.748604059E-3,3.322456593E-2
1.298343583E0,2.711639863E-2,9.910336174E-3,4.673679471E-3,2.924648898E-2
1.308381583E0,3.477429598E-2,2.053527519E-2,-2.830637097E-3,4.048409187E-2
1.318419583E0,1.994763002E-2,9.927713368E-3,-2.438581288E-2,3.303233727E-2
1.328457583E0,9.692125395E-3,3.404735003E-2,-2.031907439E-2,4.081695876E-2
