"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-2.480541661E-3,1.272865292E-2,3.373145685E-2,-1.361610368E-3,3.607885487E-2
7.557458332E-3,2.594112605E-2,3.375009820E-2,4.876886960E-4,4.257051784E-2
1.759545834E-2,3.738126904E-2,2.931254543E-2,4.571524449E-3,4.772298639E-2
2.763245834E-2,4.429163784E-2,2.429594845E-2,6.245321129E-3,5.090232145E-2
3.767045833E-2,4.687396437E-2,1.853481494E-2,5.159588531E-3,5.066881935E-2
4.770845834E-2,4.494743794E-2,6.353782956E-3,6.432846189E-3,4.584783796E-2
5.774645833E-2,3.848607838E-2,-1.659935340E-3,7.068276405E-3,3.916496069E-2
6.778345833E-2,2.922040410E-2,-1.172748208E-2,4.998999648E-3,3.188033641E-2
7.782145834E-2,1.564917155E-2,-2.120178193E-2,3.883888712E-3,2.663637961E-2
8.785945833E-2,1.062771305E-3,-3.241661936E-2,8.944906294E-4,3.244636816E-2
9.789645833E-2,-1.597037353E-2,-4.164726287E-2,-1.016875263E-3,4.461593180E-2
1.079344583E-1,-2.728827670E-2,-4.757679254E-2,-3.539155237E-3,5.496113948E-2
1.179724583E-1,-3.795485944E-2,-4.878850281E-2,-4.235032015E-3,6.195825092E-2
1.280104583E-1,-4.604288191E-2,-4.618233442E-2,-4.351146054E-3,6.535814761E-2
1.380474583E-1,-4.859356955E-2,-4.113707691E-2,-4.478064366E-3,6.382512952E-2
1.480854583E-1,-4.717410356E-2,-3.344533592E-2,-3.192556323E-3,5.791527396E-2
1.581235833E-1,-4.267512634E-2,-2.451802790E-2,-1.474802382E-3,4.923895960E-2
1.681615833E-1,-3.016412817E-2,-1.321716886E-2,2.160386648E-4,3.293349137E-2
1.781985833E-1,-1.824811101E-2,-3.478135914E-4,2.369425027E-3,1.840458380E-2
1.882365833E-1,-1.933054300E-3,1.286652498E-2,4.246154800E-3,1.368627029E-2
1.982745833E-1,1.358417608E-2,2.223166637E-2,6.151326001E-3,2.676967764E-2
2.083115833E-1,2.600249648E-2,3.220174462E-2,6.073827855E-3,4.183268536E-2
2.183495833E-1,3.720186278E-2,3.744601086E-2,5.285631865E-3,5.304828204E-2
2.283875833E-1,4.560679942E-2,4.235501587E-2,4.432621412E-3,6.239852287E-2
2.384255833E-1,4.755234718E-2,4.568663239E-2,5.272887181E-3,6.615358978E-2
2.484625833E-1,4.622955620E-2,4.547438025E-2,6.805323064E-4,6.485024480E-2
2.585005833E-1,4.153395817E-2,4.240985587E-2,-1.096336870E-3,5.937059466E-2
2.685385833E-1,3.150982037E-2,3.639058024E-2,-4.821300507E-3,4.837755728E-2
2.785755833E-1,1.722709462E-2,3.035035729E-2,-5.268597044E-3,3.529412262E-2
2.886135833E-1,2.029232215E-3,2.103834786E-2,-5.840910133E-3,2.192820319E-2
2.986515833E-1,-1.447738428E-2,1.273311302E-2,-7.965573110E-3,2.086090069E-2
3.086895833E-1,-2.524454519E-2,1.427727751E-3,-7.597257849E-3,2.640158698E-2
3.187265833E-1,-3.632358089E-2,-9.586530738E-3,-7.252134383E-3,3.826091417E-2
3.287645833E-1,-4.292289540E-2,-2.190711349E-2,-6.922967732E-3,4.868494689E-2
3.388025833E-1,-4.754049331E-2,-3.032283112E-2,-5.950168706E-3,5.670076806E-2
3.488405833E-1,-4.558573291E-2,-3.754585609E-2,3.635114990E-5,5.905718987E-2
3.588775833E-1,-3.891657293E-2,-4.432118684E-2,6.171560381E-4,5.898515180E-2
3.689155833E-1,-2.913105488E-2,-4.940383136E-2,2.909871284E-3,5.742668598E-2
3.789535833E-1,-1.702026278E-2,-5.123873055E-2,6.407903042E-3,5.437056258E-2
3.889905833E-1,-3.504454857E-3,-4.808900878E-2,9.110212326E-3,4.906964375E-2
3.990285833E-1,1.150429063E-2,-4.339342937E-2,9.828688577E-3,4.595586507E-2
4.090665833E-1,2.548641898E-2,-3.609929606E-2,1.253312826E-2,4.593251607E-2
4.191045833E-1,3.656530380E-2,-2.598537132E-2,1.243453100E-2,4.654974249E-2
4.291415833E-1,4.320935905E-2,-1.219286118E-2,1.180389337E-2,4.642247809E-2
4.391795833E-1,4.522946849E-2,9.023658931E-4,9.095884860E-3,4.614384256E-2
4.492175833E-1,4.338442907E-2,1.505227387E-2,7.014624774E-3,4.645411279E-2
4.592555833E-1,3.688088432E-2,2.915237471E-2,3.795889905E-3,4.716428055E-2
4.692925833E-1,2.825064212E-2,4.098825902E-2,2.183612203E-3,4.982874993E-2
4.793305833E-1,1.667625085E-2,5.000250041E-2,-1.705568749E-3,5.273761802E-2
