"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.150624994E-3,-5.428253515E-3,5.186867662E-2,1.322172403E-2,5.380185440E-2
1.318862499E-2,8.785112612E-3,5.932469884E-2,4.238061905E-3,6.012120478E-2
2.322662500E-2,1.848771731E-2,5.756598428E-2,1.112374306E-2,6.147662887E-2
3.326462499E-2,1.784178271E-2,2.810891781E-2,2.669663250E-2,4.267494180E-2
4.330262500E-2,9.309415994E-3,3.105268026E-2,9.785315394E-3,3.386276088E-2
5.334062499E-2,1.294172463E-2,3.152776653E-2,-2.403205633E-4,3.408146201E-2
6.337862500E-2,1.457441342E-2,3.392092226E-2,5.139702559E-4,3.692298280E-2
7.341662499E-2,3.343748543E-3,2.648512775E-2,1.399004817E-2,3.013907918E-2
8.345462500E-2,9.270888325E-3,1.698195878E-2,1.324101985E-2,2.344484807E-2
9.349262499E-2,-1.040883872E-2,2.029961413E-2,6.954678297E-3,2.384923075E-2
1.035296250E-1,-8.291397477E-3,2.497612584E-2,5.160167813E-3,2.681755891E-2
1.135676250E-1,-2.170657299E-2,1.607046923E-2,4.997615218E-3,2.746655147E-2
1.236056250E-1,-2.149144113E-2,1.551549537E-2,-8.029396534E-3,2.769627858E-2
1.336436250E-1,-4.478593516E-2,2.847604986E-2,-7.599626184E-3,5.361361508E-2
1.436816250E-1,-6.762938046E-2,1.396121409E-2,-5.387039781E-3,6.926520626E-2
1.537196250E-1,-7.940020015E-2,2.152626861E-2,3.856823444E-3,8.235682796E-2
1.637576250E-1,-7.685735570E-2,2.094052378E-2,-2.017874122E-3,7.968456863E-2
1.737956250E-1,-9.139252882E-2,2.731510347E-2,-1.749486923E-3,9.540319652E-2
1.838336250E-1,-9.881080910E-2,1.717866277E-2,1.214583635E-2,1.010257581E-1
1.938716250E-1,-8.299124938E-2,3.794532325E-3,-5.388793945E-3,8.325253779E-2
2.039096250E-1,-8.115168792E-2,3.729756139E-3,-4.954930544E-3,8.138832146E-2
2.139476250E-1,-6.910857070E-2,1.054572752E-2,-1.200082541E-2,7.093114072E-2
2.239856250E-1,-6.328072395E-2,2.791314572E-3,-1.395204127E-2,6.486062686E-2
2.340236250E-1,-5.786485009E-2,-1.388843453E-2,-2.218550563E-2,6.350926034E-2
2.440616250E-1,-4.716545044E-2,-2.412621478E-2,-2.771989524E-2,5.979169296E-2
2.540996250E-1,-5.080239116E-2,-4.734481378E-2,-3.340104997E-2,7.705870800E-2
2.641376250E-1,-3.696965137E-2,-6.307972591E-2,-5.674781263E-2,9.255334236E-2
2.741756250E-1,-2.819446988E-2,-6.526199816E-2,-4.626550913E-2,8.482071605E-2
2.842136250E-1,-2.606526112E-2,-6.305297490E-2,-7.111032844E-2,9.854823333E-2
2.942516250E-1,-1.534591698E-2,-6.959432814E-2,-7.858833253E-2,1.060895550E-1
3.042896250E-1,-1.204962225E-2,-5.371124391E-2,-8.306671500E-2,9.965023964E-2
3.143276250E-1,-4.870474823E-3,-4.154351704E-2,-1.014649791E-1,1.097484729E-1
3.243656250E-1,2.921049669E-3,-4.194463603E-2,-9.905300260E-2,1.076075385E-1
3.344036250E-1,1.984268163E-2,-1.898198063E-2,-8.092721879E-2,8.545912675E-2
3.444416250E-1,1.933649548E-2,-1.702943087E-2,-8.511324048E-2,8.892786559E-2
3.544796250E-1,1.771521790E-2,-9.942897856E-3,-6.805164993E-2,7.101913278E-2
3.645176250E-1,2.680595716E-2,-1.030368933E-2,-8.003902674E-2,8.503511718E-2
3.745556250E-1,2.487050137E-2,-2.805548888E-3,-6.479182720E-2,6.945785640E-2
3.845936250E-1,2.219845173E-2,1.899937609E-2,-4.251627445E-2,5.158857572E-2
3.946316250E-1,2.376866668E-2,1.985352639E-2,-2.443492949E-2,3.944841955E-2
4.046696250E-1,1.778634380E-2,4.030990072E-2,-3.000381768E-2,5.330545185E-2
4.147076250E-1,1.200434287E-2,4.305962697E-2,-2.029860914E-2,4.909449312E-2
4.247456250E-1,3.745543621E-3,4.964324461E-2,8.121197820E-3,5.044238978E-2
4.347836250E-1,3.142147511E-3,6.062714785E-2,9.154400826E-3,6.139484671E-2
4.448216250E-1,8.242454454E-3,4.688546017E-2,1.438239634E-2,4.972964664E-2
4.548596250E-1,-2.821610458E-3,5.083304336E-2,3.204508066E-2,6.015685312E-2
4.648976250E-1,-2.499631701E-2,4.520623120E-2,3.385187030E-2,6.176057258E-2
4.749356250E-1,-3.543217169E-2,3.315837225E-2,3.117559969E-2,5.767871754E-2
4.849736250E-1,-2.826122864E-2,4.522055687E-2,2.940096974E-2,6.089345474E-2
4.950116250E-1,-4.364295068E-2,3.144321945E-2,1.700311840E-2,5.641355536E-2
5.050496250E-1,-2.232919182E-2,5.274714768E-2,1.373861790E-2,5.890334470E-2
5.150866250E-1,-3.298017835E-2,6.205421565E-2,9.279531240E-3,7.088390187E-2
5.251246250E-1,-3.140381469E-2,4.522572801E-2,-6.554144025E-3,5.544838009E-2
5.351626250E-1,-1.899792342E-2,5.720435226E-2,-1.984194160E-2,6.345834585E-2
5.452006250E-1,-1.273616759E-2,3.036108255E-2,-3.598318040E-2,4.877288766E-2
5.552386250E-1,-7.950705802E-3,1.353104174E-2,-2.714102089E-2,3.135183932E-2
5.652766250E-1,-2.316797490E-2,2.897344692E-2,-3.926229894E-2,5.401614393E-2
5.753146250E-1,-1.112002459E-2,3.220056178E-2,-6.412582934E-2,7.261303681E-2
5.853526250E-1,-2.165350950E-2,3.945280854E-3,-6.039881408E-2,6.428418513E-2
5.953906250E-1,-1.423561295E-2,1.733396117E-2,-6.446321368E-2,6.825411932E-2
6.054286250E-1,-7.409308450E-3,1.254483573E-3,-6.463979959E-2,6.507515096E-2
6.154666250E-1,-1.540891159E-2,-4.366024565E-3,-6.436439574E-2,6.632700932E-2
