"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-2.608208335E-3,1.550745219E-5,-5.309186410E-3,5.917748436E-3,7.950311150E-3
7.428791665E-3,-4.920908250E-4,-1.174178533E-2,8.592893369E-3,1.455848525E-2
1.746679166E-2,3.341769334E-3,-1.432382502E-2,1.200995129E-2,1.898889979E-2
2.750479167E-2,7.470515557E-4,-1.743546128E-2,1.502518263E-2,2.302844999E-2
3.754179167E-2,1.904585399E-3,-1.980171911E-2,1.701116003E-2,2.617470327E-2
4.757979166E-2,2.297668252E-3,-2.168537304E-2,1.773607358E-2,2.810877068E-2
5.761779167E-2,-1.325374469E-4,-2.179271728E-2,1.565164700E-2,2.683121589E-2
6.765479167E-2,7.441751659E-4,-2.235171571E-2,1.651051641E-2,2.779838384E-2
7.769279166E-2,-9.350553155E-4,-2.175691538E-2,1.536810957E-2,2.665363928E-2
8.773079167E-2,1.131650060E-4,-2.117474936E-2,1.048387215E-2,2.362825410E-2
9.776779167E-2,-2.095112577E-3,-1.689470373E-2,6.102853455E-3,1.808494764E-2
1.078057917E-1,-3.137740074E-3,-1.350157149E-2,2.018210944E-4,1.386284881E-2
1.178437917E-1,-1.826176420E-3,-8.692882955E-3,-7.741515525E-3,1.178270754E-2
1.278807917E-1,-4.939145409E-3,-2.800905146E-3,-1.366971247E-2,1.480206965E-2
1.379187917E-1,-5.514164921E-3,1.886609010E-3,-1.935655251E-2,2.021488149E-2
1.479567917E-1,-3.280305536E-3,8.126129396E-3,-2.509033680E-2,2.657666992E-2
1.579937917E-1,-3.009489272E-3,1.241611131E-2,-2.795887366E-2,3.073947726E-2
1.680317917E-1,-5.077156238E-4,1.591204293E-2,-2.873944491E-2,3.285432360E-2
1.780697917E-1,1.561712474E-3,1.775368303E-2,-2.653211541E-2,3.196224891E-2
1.881067917E-1,1.670902129E-3,1.787006296E-2,-2.120153233E-2,2.777833756E-2
1.981447917E-1,6.722978316E-3,1.842905395E-2,-1.477391738E-2,2.455803538E-2
2.081827917E-1,8.104093373E-3,1.682902686E-2,-2.479434479E-3,1.884250700E-2
2.182197917E-1,1.096540503E-2,1.230114792E-2,5.881455727E-3,1.749713888E-2
2.282577917E-1,1.127592940E-2,7.368174382E-3,1.502968092E-2,2.018236572E-2
2.382957917E-1,1.004685368E-2,2.145078499E-3,2.472940087E-2,2.677842225E-2
2.483327917E-1,8.118990809E-3,-4.532265477E-3,2.918673307E-2,3.063208823E-2
2.583707917E-1,7.489962503E-3,-8.562134579E-3,3.222742677E-2,3.417625964E-2
2.684087917E-1,2.245665528E-3,-1.421975438E-2,3.272464126E-2,3.575117584E-2
2.784457917E-1,-1.368341502E-3,-1.796907559E-2,2.936531417E-2,3.445405219E-2
2.884837917E-1,-5.805434193E-3,-2.081626095E-2,2.423579805E-2,3.247142887E-2
2.985217917E-1,-9.104291908E-3,-2.561953850E-2,1.873929985E-2,3.302136040E-2
3.085587917E-1,-1.130779088E-2,-3.041163087E-2,1.141933631E-2,3.439672468E-2
3.185967917E-1,-1.544035226E-2,-3.091178462E-2,3.822356928E-3,3.476425346E-2
3.286347917E-1,-1.529228128E-2,-3.137144819E-2,-4.243559204E-3,3.515721012E-2
3.386717917E-1,-1.523547061E-2,-2.957395650E-2,-1.057554781E-2,3.490817497E-2
3.487097917E-1,-1.328736916E-2,-2.673902176E-2,-1.795090549E-2,3.483912272E-2
3.587477917E-1,-1.085449476E-2,-2.021827735E-2,-2.207093500E-2,3.183904784E-2
3.687847917E-1,-8.141798899E-3,-1.289351843E-2,-2.604969777E-2,3.018473887E-2
3.788227917E-1,-5.155720748E-3,-4.731423687E-3,-2.755577490E-2,2.843041605E-2
3.888607917E-1,-2.690166235E-3,5.119076930E-3,-2.962744795E-2,3.018654692E-2
3.988977917E-1,2.663754858E-3,1.228179038E-2,-2.784713916E-2,3.055161411E-2
4.089357917E-1,7.115494926E-3,1.971147768E-2,-2.216821536E-2,3.050577639E-2
4.189737917E-1,9.134711698E-3,2.567059174E-2,-1.871446520E-2,3.305530889E-2
4.290107917E-1,9.444437921E-3,2.811750397E-2,-1.095667761E-2,3.162025018E-2
4.390487917E-1,1.080499403E-2,2.884513885E-2,-4.797672853E-3,3.117382870E-2
