"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.390249996E-3,-7.022489553E-2,1.191250595E-1,6.062042356E-2,1.509872561E-1
1.242825000E-2,-8.464802139E-2,9.095947855E-2,1.618041515E-2,1.253025143E-1
2.246625000E-2,-8.534438822E-2,7.357784430E-2,-5.554854870E-3,1.128194140E-1
3.250425000E-2,-8.441287195E-2,6.134884045E-2,-2.106751800E-2,1.064568151E-1
4.254225000E-2,-7.134465560E-2,2.394745443E-2,-9.550842047E-3,7.586012813E-2
5.258025001E-2,-4.573132943E-2,1.637353772E-2,-7.074546218E-3,4.908662174E-2
6.261825000E-2,-5.120361065E-2,-7.142638871E-3,5.842537880E-3,5.202847569E-2
7.265625001E-2,-3.842510557E-2,-1.624185660E-2,2.023721337E-2,4.636627491E-2
8.269425000E-2,-4.694007682E-2,-1.768621936E-2,4.330623329E-2,6.626917088E-2
9.273224999E-2,-4.390619416E-2,-3.756903665E-2,2.744858444E-2,6.397351943E-2
1.027702500E-1,-5.468858773E-2,-5.146468883E-2,-3.829341531E-3,7.519388061E-2
1.128082500E-1,-7.584565949E-2,-3.784298784E-2,-2.117218316E-2,8.736656758E-2
1.228462500E-1,-8.118268730E-2,-2.628659651E-2,-3.565339744E-2,9.248123389E-2
1.328842500E-1,-7.090775896E-2,-4.146403145E-2,-8.499161839E-2,1.181979331E-1
1.429222500E-1,-7.247234596E-2,-8.440684201E-2,-9.419045806E-2,1.457689895E-1
1.529602500E-1,-7.858402021E-2,-9.773056341E-2,-1.174401569E-1,1.718106566E-1
1.629982500E-1,-9.272541991E-2,-1.143077121E-1,-1.399209470E-1,2.030815795E-1
1.730362500E-1,-8.032144725E-2,-1.154754925E-1,-1.574468064E-1,2.111293942E-1
1.830742500E-1,-9.131931072E-2,-1.107555286E-1,-1.616433531E-1,2.161818152E-1
1.931122500E-1,-7.508532045E-2,-9.918197025E-2,-1.631379014E-1,2.051556566E-1
2.031502500E-1,-7.635654168E-2,-8.005943717E-2,-1.483105320E-1,1.850293188E-1
2.131882500E-1,-4.842601877E-2,-7.472061865E-2,-1.292872006E-1,1.569822613E-1
2.232262500E-1,-5.739809610E-3,-7.070824100E-2,-9.349814773E-2,1.173648345E-1
2.332642500E-1,3.006101076E-2,-8.304261351E-2,-1.080109370E-1,1.395209752E-1
2.433022500E-1,5.367341973E-2,-6.077464387E-2,-6.684010684E-2,1.050808889E-1
