"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.422500013E-4,2.626007888E-3,-1.420887467E-2,2.917975374E-2,3.256141988E-2
1.038024999E-2,2.210264560E-3,-1.196766086E-2,2.769047022E-2,3.024685631E-2
2.041825000E-2,-2.490480896E-3,-1.010185108E-2,2.261661552E-2,2.489500327E-2
3.045525000E-2,-7.614741102E-3,-8.494143374E-3,1.542301942E-2,1.918343769E-2
4.049325000E-2,-1.433416270E-2,-2.183704637E-4,1.128393505E-2,1.824398794E-2
5.053125000E-2,-2.404059283E-2,1.343908254E-3,6.170876324E-3,2.485630519E-2
6.056825000E-2,-2.903535217E-2,5.042506382E-3,2.605169779E-3,2.958488560E-2
7.060625000E-2,-3.380361199E-2,5.466106813E-3,1.004990423E-3,3.425744464E-2
8.064425000E-2,-2.198423818E-2,3.699099412E-3,-1.808106550E-3,2.236647746E-2
9.068125000E-2,-1.027598977E-2,4.845280666E-3,-1.663627336E-3,1.148217603E-2
1.007192500E-1,-4.785391502E-5,8.270371705E-3,2.765475772E-3,8.720618922E-3
1.107562500E-1,6.903044414E-3,1.031084917E-2,5.541268736E-3,1.358938159E-2
1.207942500E-1,9.711347520E-3,1.857810095E-2,1.086998731E-2,2.361382497E-2
1.308322500E-1,1.268438064E-2,2.227860317E-2,1.593765989E-2,3.018673010E-2
1.408692500E-1,1.301301457E-2,3.117515892E-2,1.388782449E-2,3.652534395E-2
1.509072500E-1,1.130967773E-2,3.466136381E-2,1.320812106E-2,3.877851742E-2
1.609455000E-1,7.272059564E-3,3.491436318E-2,1.011565886E-2,3.707050257E-2
1.709825000E-1,3.548478708E-3,3.832682967E-2,4.247684032E-3,3.872441599E-2
1.810205000E-1,6.376439705E-4,3.560508043E-2,2.325947629E-3,3.568666942E-2
1.910585000E-1,-6.633829325E-4,3.253336996E-2,-5.441122921E-4,3.254468153E-2
2.010955000E-1,-3.534004092E-3,2.937006764E-2,1.513179624E-3,2.962059707E-2
2.111335000E-1,-5.928766914E-3,1.728763245E-2,7.602171972E-4,1.829181355E-2
2.211705000E-1,-8.295251057E-3,1.124279015E-2,4.508083686E-3,1.468108780E-2
2.312085000E-1,-9.452976286E-3,5.880747922E-4,5.816940218E-3,1.111491728E-2
2.412465000E-1,-1.309484988E-2,-8.819808252E-3,1.152542606E-2,1.954736701E-2
2.512835000E-1,-1.694621891E-2,-1.655771956E-2,1.352818869E-2,2.728267402E-2
2.613215000E-1,-2.443289571E-2,-2.671288699E-2,1.774104312E-2,4.031487734E-2
2.713595000E-1,-2.369938791E-2,-2.906259336E-2,1.879067346E-2,4.194502031E-2
