"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.992708334E-3,-1.236388451E-1,-7.885688419E-2,5.259102702E-2,1.557908480E-1
1.203170833E-2,-1.176523195E-1,-4.875592964E-2,7.146583915E-2,1.460362117E-1
2.206970834E-2,-1.158923259E-1,-3.439308492E-2,6.798850000E-2,1.386951752E-1
3.210870834E-2,-1.129093323E-1,-1.303563640E-3,8.600903392E-2,1.419428424E-1
4.214670834E-2,-1.212940933E-1,1.473936886E-2,9.797711492E-2,1.566174355E-1
5.218470834E-2,-1.274384937E-1,4.391781550E-2,8.982726574E-2,1.619823505E-1
6.222370833E-2,-1.183144801E-1,7.028053544E-2,8.192358434E-2,1.601534999E-1
7.226170834E-2,-1.023216875E-1,1.014096132E-1,7.024143219E-2,1.602731923E-1
8.230070834E-2,-1.219718952E-1,1.226079079E-1,7.829772592E-2,1.898430304E-1
9.233870833E-2,-1.294244274E-1,1.428427823E-1,6.254591167E-2,2.026492880E-1
1.023767083E-1,-1.272715009E-1,1.443381529E-1,4.066387653E-2,1.966852516E-1
1.124157083E-1,-1.406517393E-1,1.574514842E-1,2.809060872E-2,2.129858304E-1
1.224537083E-1,-1.502425251E-1,1.679777515E-1,7.472156882E-3,2.254887458E-1
1.324922917E-1,-1.565097536E-1,1.573608158E-1,-1.070800602E-2,2.221989890E-1
1.425302917E-1,-1.630858247E-1,1.605174352E-1,-3.962424159E-2,2.322346092E-1
1.525682917E-1,-1.789757063E-1,1.534188788E-1,-4.095389843E-2,2.392631974E-1
1.626072917E-1,-1.770515155E-1,1.378004725E-1,-6.439714015E-2,2.334163684E-1
1.726452917E-1,-1.874251704E-1,1.340775685E-1,-7.193829417E-2,2.414127318E-1
1.826842917E-1,-1.886558632E-1,1.182418833E-1,-1.188183457E-1,2.523687321E-1
1.927222917E-1,-1.767144966E-1,9.964671426E-2,-1.128419065E-1,2.321438710E-1
2.027602917E-1,-1.706762049E-1,9.423113275E-2,-1.104463023E-1,2.240719951E-1
2.127992917E-1,-1.467576577E-1,7.299256543E-2,-1.311045152E-1,2.098907301E-1
2.228372917E-1,-1.344835846E-1,5.242655581E-2,-1.165981579E-1,1.855519030E-1
2.328762917E-1,-1.105714144E-1,3.379604766E-2,-1.063099819E-1,1.570669373E-1
2.429142917E-1,-8.238224359E-2,1.565124214E-2,-1.158187240E-1,1.429887138E-1
2.529532917E-1,-5.549064299E-2,5.824228786E-3,-9.693221748E-2,1.118435867E-1
2.629912917E-1,-4.742915986E-2,-1.578819489E-2,-8.602248251E-2,9.949200873E-2
2.730292917E-1,-1.310717342E-2,-3.912518173E-2,-7.276041269E-2,8.364601303E-2
2.830682917E-1,1.273954801E-2,-3.809852030E-2,-4.816293061E-2,6.271731194E-2
2.931062917E-1,1.705497589E-2,-6.006870221E-2,-4.410145462E-2,7.644644849E-2
3.031452917E-1,2.245500745E-2,-6.302472554E-2,-3.497102737E-2,7.549381528E-2
3.131832917E-1,4.925036654E-2,-8.932542846E-2,-1.880815387E-2,1.037225984E-1
3.232212917E-1,5.714418076E-2,-9.388050081E-2,-9.071955085E-3,1.102783124E-1
3.332602917E-1,5.418876043E-2,-9.570817597E-2,-1.204117119E-2,1.106411610E-1
3.432982917E-1,5.085584750E-2,-1.131600864E-1,-1.048873544E-2,1.245051644E-1
3.533372917E-1,5.751240917E-2,-1.213276783E-1,-1.204409480E-2,1.348078000E-1
3.633752917E-1,4.018257760E-2,-1.097048571E-1,-1.685635328E-2,1.180420766E-1
3.734132917E-1,3.174140917E-2,-1.137073127E-1,-3.211290836E-2,1.223442230E-1
3.834522917E-1,1.482199732E-2,-1.195146211E-1,-2.847594023E-2,1.237510220E-1
3.934902917E-1,5.997105371E-3,-1.092825237E-1,-2.630896211E-2,1.125646336E-1
4.035292917E-1,-2.871081557E-2,-9.283688245E-2,-1.933440328E-2,9.907985075E-2
4.135672917E-1,-3.142688379E-2,-8.191852285E-2,-2.192647398E-2,9.043817596E-2
4.236052917E-1,-5.873385597E-2,-6.657868149E-2,-1.538343966E-2,9.010569839E-2
4.336442917E-1,-7.197182430E-2,-5.599659160E-2,-1.363219857E-2,9.220302924E-2
4.436822917E-1,-7.616067823E-2,-2.664707735E-2,4.577200413E-3,8.081748823E-2
4.537212917E-1,-1.000358099E-1,-2.250063401E-3,1.813221574E-2,1.016907238E-1
4.637592917E-1,-1.014251266E-1,5.018427651E-3,4.125035226E-2,1.096076297E-1
4.737972917E-1,-1.114854073E-1,2.593245624E-2,5.506556869E-2,1.270185230E-1
