"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.266291671E-3,-1.265070587E-2,-4.957339726E-3,-2.359537641E-3,1.379068505E-2
1.130329167E-2,-4.389246460E-3,-9.368192405E-4,-1.970623620E-3,4.901680551E-3
2.134129166E-2,1.485138200E-4,4.448285326E-4,-2.430285327E-3,2.475119300E-3
3.137929167E-2,5.834664218E-3,1.622245181E-3,-3.761430271E-3,7.129049281E-3
4.141729166E-2,1.086644083E-2,2.891774056E-3,-2.487107646E-3,1.151640560E-2
5.145429166E-2,1.543888636E-2,3.504658584E-3,-2.780475654E-3,1.607398173E-2
6.149229167E-2,1.822508499E-2,5.042101257E-3,-2.921090461E-3,1.913398227E-2
7.153029167E-2,1.953542978E-2,6.699598394E-3,-2.770529594E-3,2.083730955E-2
8.156829167E-2,2.077885903E-2,7.992031053E-3,-2.457075519E-3,2.239800802E-2
9.160529167E-2,1.581682451E-2,8.057365194E-3,-1.059600618E-4,1.775117740E-2
1.016432917E-1,1.231876202E-2,7.966551930E-3,-5.349952262E-4,1.468005679E-2
1.116812917E-1,8.911115117E-3,6.810510065E-3,-7.891223067E-4,1.124338623E-2
1.217192917E-1,-2.272562124E-4,6.548721343E-3,-5.888356827E-5,6.552927887E-3
1.317562917E-1,-5.141232163E-3,4.622070584E-3,1.187795773E-3,7.014746142E-3
1.417942917E-1,-1.102175750E-2,3.629510524E-3,1.017353497E-3,1.164849746E-2
1.518322917E-1,-1.505726855E-2,-3.419234417E-4,2.234600484E-3,1.522602007E-2
1.618702917E-1,-1.729086228E-2,-2.465528436E-3,2.441527788E-3,1.763558354E-2
1.719072917E-1,-1.921357214E-2,-3.911817446E-3,2.720271470E-3,1.979554362E-2
1.819452917E-1,-1.779490523E-2,-7.845838554E-3,4.520568997E-3,1.996625600E-2
1.919832917E-1,-1.436308771E-2,-8.586782962E-3,1.898291521E-4,1.673520736E-2
2.020212917E-1,-1.136676501E-2,-1.147524826E-2,1.174399862E-3,1.619456343E-2
2.120582917E-1,-4.667182453E-3,-1.195545308E-2,1.967816846E-3,1.298413469E-2
2.220962917E-1,-8.434155025E-4,-1.024783403E-2,4.085360561E-4,1.029059540E-2
2.321342917E-1,5.000625271E-3,-1.046594605E-2,1.330522588E-3,1.167529743E-2
2.421722917E-1,1.034159400E-2,-8.211847395E-3,1.382252667E-4,1.320613911E-2
2.522092917E-1,1.381792128E-2,-6.521486677E-3,5.245227367E-4,1.528855327E-2
2.622472917E-1,1.570264064E-2,-3.814383410E-3,-1.642757794E-3,1.624257052E-2
2.722852917E-1,1.460511610E-2,1.270617358E-4,-2.228556899E-3,1.477470903E-2
2.823232917E-1,1.427594945E-2,3.221654566E-3,-1.457305392E-3,1.470732912E-2
2.923602917E-1,1.302795950E-2,6.654024124E-3,-2.080141567E-3,1.477601959E-2
3.023982917E-1,8.438001387E-3,8.509715088E-3,-2.680950798E-3,1.228017164E-2
3.124362917E-1,4.575222731E-3,9.426992387E-3,-3.113938728E-3,1.093148951E-2
3.224742917E-1,-1.211294206E-3,1.147016976E-2,-1.864383463E-3,1.168366183E-2
3.325112917E-1,-9.062292986E-3,1.138787810E-2,-2.440957818E-3,1.475693724E-2
3.425492917E-1,-1.173078083E-2,9.969212115E-3,-2.318452578E-3,1.556828929E-2
3.525872917E-1,-1.489401888E-2,9.502523579E-3,-3.619950265E-3,1.803423945E-2
3.626252917E-1,-1.768714190E-2,4.973818548E-3,-9.376144735E-4,1.839709163E-2
3.726622917E-1,-1.674591377E-2,3.351898864E-3,-6.720074452E-5,1.707821332E-2
3.827002917E-1,-1.639623940E-2,3.204224631E-4,2.912606578E-4,1.640195628E-2
3.927382917E-1,-1.486538909E-2,-4.232766107E-3,-2.384730615E-4,1.545810374E-2
4.027752917E-1,-8.958764374E-3,-7.450130768E-3,1.257690834E-3,1.171945791E-2
4.128132917E-1,-4.543874413E-3,-1.204454713E-2,1.648750855E-3,1.297830072E-2
4.228512917E-1,7.933666930E-4,-1.262298599E-2,2.328655915E-3,1.286047605E-2
4.328892917E-1,7.471906487E-3,-1.572998613E-2,1.962019829E-3,1.752459335E-2
4.429272917E-1,1.202058420E-2,-1.698486693E-2,2.769756829E-3,2.099170555E-2
4.529642917E-1,1.382424589E-2,-1.502417959E-2,2.172784181E-3,2.053184692E-2
4.630022917E-1,1.646130905E-2,-1.300310716E-2,9.631761350E-4,2.099959999E-2
4.730402917E-1,1.844036952E-2,-9.721008129E-3,5.298489705E-4,2.085248107E-2
4.830782917E-1,1.503551751E-2,-6.823488511E-3,6.148037501E-4,1.652285587E-2
4.931152917E-1,1.247472409E-2,-2.831093036E-3,9.430437349E-4,1.282665819E-2
5.031532917E-1,8.535908535E-3,5.109388381E-3,-1.084154472E-3,1.000714620E-2
5.131912917E-1,2.839571796E-3,6.213217042E-3,-3.223343985E-3,7.553620354E-3
5.232292917E-1,-2.673437819E-3,1.245140564E-2,-2.271796577E-3,1.293622170E-2
5.332662917E-1,-6.465844810E-3,1.501734369E-2,-3.227840411E-3,1.666573473E-2
5.433042917E-1,-9.927421808E-3,1.582721062E-2,-4.838786554E-3,1.929943406E-2
5.533422917E-1,-1.258946024E-2,1.705010235E-2,-4.393641837E-3,2.164496680E-2
5.633792917E-1,-1.507125981E-2,1.718645543E-2,-2.798141912E-3,2.302925793E-2
5.734172917E-1,-1.271255594E-2,1.474809833E-2,-2.315974096E-3,1.960814165E-2
5.834552917E-1,-1.159296278E-2,1.230704412E-2,-3.352476284E-3,1.723656631E-2
