"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.862916634E-4,-7.388143357E-2,-3.254996946E-2,1.159789377E-1,1.413119979E-1
1.072429167E-2,-6.480790704E-2,-2.683722150E-2,1.042383134E-1,1.256420601E-1
2.076329167E-2,-5.401956576E-2,-4.304319995E-2,1.026583958E-1,1.237318745E-1
3.080129166E-2,-5.242327589E-2,-3.100367328E-2,8.699604392E-2,1.061967008E-1
4.083929167E-2,-6.093069144E-2,-2.628661478E-2,5.441769719E-2,8.581853554E-2
5.087729167E-2,-4.507333495E-2,-2.006320389E-2,3.651995480E-2,6.138277260E-2
6.091529167E-2,-4.250408666E-2,-1.363218030E-2,1.573485732E-3,4.466441066E-2
7.095329167E-2,-3.417842816E-2,2.929692585E-3,-5.834878027E-2,6.768550960E-2
8.099129167E-2,-4.123686712E-2,6.742168553E-3,-7.618454218E-2,8.689085403E-2
9.102929167E-2,-8.025065940E-3,1.342981182E-2,-1.077671081E-1,1.088967911E-1
1.010672917E-1,-6.831128458E-3,2.052043788E-2,-1.192761827E-1,1.212211221E-1
1.111052917E-1,-1.893428014E-2,3.381327868E-2,-1.565206075E-1,1.612468460E-1
1.211432917E-1,4.008933278E-3,3.611381086E-2,-1.716046697E-1,1.754093542E-1
1.311812917E-1,-9.554925961E-3,3.224172983E-2,-1.735137856E-1,1.767423536E-1
1.412192917E-1,-2.043110339E-2,3.968876196E-2,-1.722753453E-1,1.779646662E-1
1.512572917E-1,-1.341734081E-2,4.669155188E-2,-1.690880281E-1,1.759286426E-1
1.612952917E-1,-2.599652893E-2,2.663806899E-2,-1.603563809E-1,1.646194859E-1
1.713332917E-1,-2.125200679E-2,4.421229590E-2,-1.424902135E-1,1.506978296E-1
1.813712917E-1,-2.977888260E-2,4.271560969E-2,-1.123495710E-1,1.238298480E-1
1.914092917E-1,-3.315105409E-2,2.527084379E-2,-9.403316796E-2,1.028583716E-1
2.014472917E-1,-2.884206729E-2,3.930048857E-2,-5.835813582E-2,7.603989258E-2
2.114852917E-1,-4.414240340E-2,2.057620570E-2,-2.823269606E-2,5.629402406E-2
2.215232917E-1,-4.194302805E-2,1.804730320E-2,-1.803047419E-2,4.909196221E-2
2.315612917E-1,-4.105447054E-2,7.821747288E-3,3.977276087E-3,4.198175803E-2
2.415992917E-1,-4.148475252E-2,1.456806371E-2,1.773168147E-2,4.740913097E-2
2.516372917E-1,-4.036311038E-2,1.028421080E-2,2.922321439E-2,5.088164630E-2
2.616752917E-1,-3.793013876E-2,8.701716699E-3,2.154406607E-2,4.448103060E-2
2.717132917E-1,-3.789948656E-2,8.440967426E-3,1.490045965E-2,4.158899747E-2
2.817512917E-1,-3.651723219E-2,1.647551682E-2,1.753463030E-2,4.373115778E-2
2.917892917E-1,-2.653229834E-2,2.190140404E-2,-7.521858215E-3,3.521665380E-2
3.018272917E-1,-2.204569322E-2,1.652985938E-2,-1.371289015E-2,3.077811230E-2
3.118652917E-1,-1.444455042E-2,1.086295724E-2,-2.079503775E-2,2.755145135E-2
3.219032917E-1,-2.606880600E-2,1.094783323E-2,-2.472845972E-2,3.756240698E-2
3.319412917E-1,-2.147067438E-2,2.284974933E-2,-2.940623224E-2,4.298636292E-2
3.419802917E-1,-2.503483554E-2,6.765411235E-3,-3.662286580E-2,4.487480450E-2
3.520182917E-1,-3.096742968E-2,1.838339020E-2,-8.807660937E-3,3.707432572E-2
3.620562917E-1,-2.877518062E-2,8.536386676E-4,5.094678998E-3,2.923517527E-2
3.720942917E-1,-4.476270162E-2,-6.182864103E-3,7.483851314E-3,4.580322363E-2
3.821322917E-1,-5.023685577E-2,-6.802815143E-3,3.009678841E-2,5.895622651E-2
3.921702917E-1,-4.809508463E-2,-2.039874271E-2,6.156767249E-2,8.074542814E-2
4.022082917E-1,-6.905498645E-2,-1.793112634E-2,6.970758140E-2,9.974599416E-2
4.122462917E-1,-7.754581053E-2,-2.137354665E-2,1.030162454E-1,1.307001455E-1
4.222842917E-1,-8.613456633E-2,-2.777734414E-2,1.110427183E-1,1.432523286E-1
4.323222917E-1,-9.324647077E-2,-3.167343529E-2,1.100913763E-1,1.477099250E-1
4.423602917E-1,-8.467802491E-2,-3.110707764E-2,1.149726319E-1,1.461394001E-1
4.523982917E-1,-7.117696842E-2,-4.240863087E-2,9.663868725E-2,1.272937103E-1
4.624362917E-1,-7.563254675E-2,-2.392212868E-2,9.100372553E-2,1.207237691E-1
4.724742917E-1,-7.306960249E-2,-3.129446262E-2,7.216750503E-2,1.073622791E-1
4.825122917E-1,-7.294989903E-2,-1.544925738E-2,3.593815684E-2,8.277631569E-2
4.925502917E-1,-6.170891929E-2,-1.337004231E-2,-1.518521905E-3,6.315896342E-2
5.025882917E-1,-5.185113497E-2,-8.455896098E-3,-2.837069035E-2,5.970710550E-2
5.126262917E-1,-3.794400763E-2,1.354441725E-2,-4.266771734E-2,5.868332861E-2
5.226642917E-1,-3.294510419E-2,1.384454386E-2,-8.376955032E-2,9.107353538E-2
5.327022917E-1,-3.041971003E-2,3.137794990E-2,-1.142475772E-1,1.223210668E-1
5.427402917E-1,-4.312816730E-2,3.555094326E-2,-1.176296067E-1,1.302329941E-1
5.527782917E-1,-2.330574078E-2,3.754394844E-2,-1.449594927E-1,1.515452412E-1
5.628162917E-1,-1.344960099E-2,5.280801354E-2,-1.698838341E-1,1.784099077E-1
5.728542917E-1,-2.759178640E-2,4.740831088E-2,-1.672525871E-1,1.760178471E-1
5.828922917E-1,-1.470529055E-2,4.914476948E-2,-1.699920076E-1,1.775633312E-1
5.929302917E-1,-2.692221626E-2,5.839893842E-2,-1.653744614E-1,1.774371839E-1
6.029682917E-1,-2.458573284E-2,4.908540197E-2,-1.444133627E-1,1.544961303E-1
6.130062917E-1,-2.479671682E-2,5.491187828E-2,-1.340427411E-1,1.469613826E-1
6.230442917E-1,-2.065985743E-2,3.786106853E-2,-1.059801990E-1,1.144206834E-1
6.330822917E-1,-4.131923977E-2,2.836904582E-2,-1.094692326E-1,1.203976545E-1
6.431202917E-1,-3.507503472E-2,1.848116660E-2,-7.446546078E-2,8.436181855E-2
6.531582917E-1,-3.312717187E-2,1.786390163E-2,-5.277112126E-2,6.481758818E-2
6.631972917E-1,-4.535545397E-2,2.180631369E-2,-3.466931105E-2,6.111132178E-2
6.732352917E-1,-4.783718588E-2,7.612508330E-3,-2.287313819E-2,5.356796698E-2
6.832732917E-1,-3.351691620E-2,3.610527758E-3,-1.529631615E-2,3.701887181E-2
6.933112917E-1,-5.030524079E-2,9.565989990E-3,5.111051202E-3,5.146113349E-2
7.033492917E-1,-2.621136842E-2,-1.038776133E-3,1.524953842E-3,2.627623212E-2
7.133872917E-1,-3.283637339E-2,-1.140894100E-2,-3.902431726E-3,3.498028481E-2
7.234252917E-1,-2.880318331E-2,-1.247887183E-3,1.861987352E-2,3.432026050E-2
7.334632917E-1,-2.560823726E-2,-9.948324803E-3,7.279783487E-3,2.842087665E-2
7.435012917E-1,-1.281498623E-2,1.993516814E-3,1.754749417E-3,1.308728875E-2
7.535392917E-1,-2.850501185E-2,-8.516177237E-3,8.044014573E-3,3.081829239E-2
7.635772917E-1,-9.088053200E-3,-1.073490322E-2,8.642184734E-4,1.409176113E-2
7.736152917E-1,-1.185120977E-2,8.405573498E-3,7.916545272E-3,1.654619376E-2
7.836532917E-1,-3.719121516E-2,4.625805393E-3,1.588688493E-2,4.070599063E-2
7.936912917E-1,-2.430217942E-2,4.412820563E-5,2.343388617E-2,3.376010801E-2
8.037292917E-1,-2.568602351E-2,1.042589614E-2,4.837635398E-2,5.575610046E-2
8.137672917E-1,-3.548582903E-2,-5.224943999E-3,5.449663460E-2,6.524130045E-2
8.238048750E-1,-3.899584863E-2,-1.667954810E-3,3.895064235E-2,5.514173395E-2
8.338428750E-1,-4.366019083E-2,-1.012200538E-2,5.427853346E-2,7.039052813E-2
8.438808750E-1,-5.520261280E-2,-2.890364578E-2,4.479493439E-2,7.674200510E-2
