"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-8.515000081E-4,-4.330149852E-3,8.126251400E-3,-2.592101507E-2,2.750791126E-2
9.186499999E-3,-9.026609361E-3,5.593446549E-3,-2.602222748E-2,2.810556251E-2
1.922449999E-2,-1.094781421E-2,-3.020814154E-3,-2.619213797E-2,2.854834576E-2
2.926250000E-2,-7.830584422E-3,-1.305107772E-2,-2.654660493E-2,3.060017836E-2
3.929950000E-2,-4.267274868E-3,-2.047517337E-2,-2.575777657E-2,3.317989471E-2
4.933749999E-2,-2.354845172E-3,-2.480895258E-2,-2.306605875E-2,3.395692110E-2
5.937550000E-2,-2.000644803E-3,-2.412904799E-2,-1.854614168E-2,3.049873617E-2
6.941349999E-2,-1.213922864E-3,-1.776955836E-2,-1.104349736E-2,2.095685203E-2
7.945149999E-2,-1.038686838E-3,-1.069673523E-2,-3.885453567E-3,1.142785038E-2
8.948849999E-2,3.836164251E-4,-3.456328530E-3,2.737937961E-3,4.426022226E-3
9.952649999E-2,2.065402456E-3,-1.567881089E-3,7.635757327E-3,8.064051610E-3
1.095645000E-1,7.991382852E-3,-1.087009441E-3,1.107893791E-2,1.370352709E-2
1.196025000E-1,1.239358820E-2,-3.597837873E-3,1.005894691E-2,1.636239221E-2
1.296395000E-1,1.858518273E-2,-9.383141063E-3,7.404766977E-3,2.209712486E-2
1.396775000E-1,2.432535961E-2,-1.683679596E-2,1.367114717E-3,2.961536461E-2
1.497155000E-1,2.508881316E-2,-1.844289526E-2,-7.920047501E-4,3.114829374E-2
1.597535000E-1,2.176439017E-2,-1.306118071E-2,-3.551572096E-3,2.562999776E-2
1.697915000E-1,1.100051496E-2,-7.871550508E-3,1.456924248E-3,1.360497207E-2
1.798285000E-1,1.449375413E-4,1.770690316E-3,5.233286880E-3,5.526630316E-3
1.898665000E-1,-9.089588188E-3,7.283719722E-3,1.099657267E-2,1.601867026E-2
1.999045000E-1,-1.940294541E-2,1.011173055E-2,1.238381304E-2,2.514120544E-2
2.099425000E-1,-2.326725610E-2,9.723158553E-3,1.331888139E-2,2.851837338E-2
2.199805000E-1,-2.619060688E-2,6.508190185E-3,1.309703849E-2,2.999728063E-2
2.300175000E-1,-2.932293899E-2,5.322281737E-3,1.498231944E-2,3.335612882E-2
2.400555000E-1,-2.800068073E-2,4.024789669E-3,1.884923130E-2,3.399309597E-2
2.500935000E-1,-2.614263073E-2,2.925596200E-3,2.771031857E-2,3.820808827E-2
2.601315000E-1,-2.366162837E-2,3.294443944E-3,4.443763196E-2,5.045224626E-2
