"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.842916675E-4,-9.167040861E-2,2.990642499E-2,-5.235012174E-3,9.656740352E-2
1.082229166E-2,-8.737872591E-2,6.235849014E-2,-2.017640233E-2,1.092277906E-1
2.086129166E-2,-9.192161048E-2,8.015832821E-2,-3.034003258E-2,1.256799810E-1
3.089929167E-2,-7.514696290E-2,6.970374417E-2,-2.375080526E-2,1.052130160E-1
4.093829167E-2,-8.741403761E-2,7.463407986E-2,-1.118923187E-2,1.154844525E-1
5.097629166E-2,-7.373386446E-2,8.855774386E-2,-3.037336171E-2,1.191708768E-1
6.101529166E-2,-7.441253434E-2,7.240459135E-2,-2.202353776E-2,1.061352266E-1
7.105329167E-2,-7.894829261E-2,7.037986502E-2,-7.242946029E-3,1.060123510E-1
8.109129166E-2,-7.932390313E-2,7.997437846E-2,8.279072642E-3,1.129456766E-1
9.113029166E-2,-8.028334899E-2,6.429799329E-2,1.377662480E-2,1.037759291E-1
1.011682917E-1,-9.231216794E-2,5.942866964E-2,1.194995463E-2,1.104359748E-1
1.112072917E-1,-9.873381771E-2,4.537220076E-2,1.537525356E-2,1.097424338E-1
1.212452917E-1,-9.356823209E-2,3.313406976E-2,1.672011316E-2,1.006600359E-1
1.312842917E-1,-1.005399861E-1,3.613056678E-2,1.449992537E-2,1.078144447E-1
1.413222917E-1,-8.008064247E-2,1.046134489E-2,3.165097833E-3,8.082305908E-2
1.513612917E-1,-8.151723940E-2,-1.216173347E-2,-4.197248340E-2,9.249139118E-2
1.613992917E-1,-5.016550147E-2,-2.409833087E-2,-5.085908175E-2,7.539199748E-2
1.714382917E-1,-4.194831795E-2,-2.925497208E-2,-3.996630371E-2,6.490624163E-2
1.814762917E-1,-2.312651449E-2,-2.326660099E-2,-4.972004414E-2,5.956721567E-2
1.915152917E-1,5.235395897E-3,-3.286049316E-2,-3.911494911E-2,5.135368170E-2
2.015532917E-1,2.007490746E-2,-4.189928357E-2,-5.965621769E-2,7.561359787E-2
