"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.394583280E-4,-4.781575873E-3,-9.021726437E-3,-1.077448111E-2,1.484400414E-2
1.027745834E-2,1.371013932E-4,-6.822561380E-3,-1.737816818E-2,1.866994563E-2
2.031445834E-2,8.324457332E-3,-2.022480126E-3,-2.242379263E-2,2.400444733E-2
3.035245833E-2,1.555505022E-2,1.220795326E-3,-2.542429045E-2,2.983026104E-2
4.039045834E-2,2.140708081E-2,5.926867481E-3,-2.603175864E-2,3.422051029E-2
5.042845833E-2,2.442629635E-2,8.683019318E-3,-2.418785356E-2,3.545547966E-2
6.046645832E-2,2.671341971E-2,1.208600588E-2,-2.399903536E-2,3.788973514E-2
7.050345832E-2,2.540561184E-2,1.443302073E-2,-2.043835260E-2,3.565786670E-2
8.054145833E-2,2.360504866E-2,1.755824126E-2,-1.607210003E-2,3.352316449E-2
9.057945832E-2,1.717161387E-2,1.864470355E-2,-8.356438018E-3,2.668931153E-2
1.006174583E-1,1.162611321E-2,1.706678048E-2,-3.151822370E-3,2.088960240E-2
1.106554583E-1,5.244912114E-3,1.526142284E-2,2.912994009E-3,1.639834334E-2
1.206934583E-1,-1.602074597E-3,1.415727660E-2,7.733049802E-3,1.621095873E-2
1.307304583E-1,-8.322256617E-3,1.010991167E-2,1.419259328E-2,1.931061815E-2
1.407684583E-1,-1.359132025E-2,4.532719962E-3,1.841503754E-2,2.333201972E-2
1.508064583E-1,-1.684018783E-2,1.577301882E-4,2.055026218E-2,2.656934476E-2
1.608444583E-1,-1.873476245E-2,-4.143807106E-3,2.225681581E-2,2.938585223E-2
1.708824583E-1,-1.845772937E-2,-1.070129126E-2,2.322830632E-2,3.153981013E-2
1.809194583E-1,-1.548431069E-2,-1.532640308E-2,2.112946846E-2,3.034990850E-2
1.909574583E-1,-1.285541803E-2,-1.915343851E-2,1.777270809E-2,2.912018427E-2
2.009954583E-1,-5.010811146E-3,-2.220728621E-2,1.329487003E-2,2.636333360E-2
2.110334583E-1,-1.012262655E-3,-2.281507105E-2,7.943343371E-3,2.417951295E-2
2.210714583E-1,4.180102143E-3,-2.258444205E-2,3.116097767E-3,2.317844563E-2
2.311094583E-1,9.451398626E-3,-2.027136087E-2,-3.980411682E-3,2.271784948E-2
